Area,Subgroup,Node,Year,Generation Scenario,Grandfathering / Pro-rata,Generation Type,Installed (MW),Available Energy (GWh),Generation (GWh),Surplus (GWh),Curtailment (GWh),Constraint (GWh),Total Dispatch Down (GWh)
A,"A, B North",ardnagappary,2030,Initial,Grandfathering,IE wind not priority,17.96,51.95322139895,24.9128951062644,6.46331316751,0.934325078669999,19.6426880465055,27.0403262926855
I,"E,F & I",barnahely,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,3.31666335,3.88318261684,3.16464807620697,0.53806055616,0.0721828385199998,0.108291145953029,0.718534540633028
E,"E,F & I",kilpaddoge,2030,Initial,Grandfathering,IE wind priority,55,178.0733995113,173.32164403985,0,4.75175547144999,0,4.75175547144998
E,"E,F & I",kilpaddoge,2030,33% ECP,Grandfathering,IE wind priority,55,178.0733995113,172.73953212051,0,5.33386739079,0,5.33386739079
I,"E,F & I",barnahely,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE Solar not priority,3.31666335,3.88318261684,2.80330407821309,0.883886922639999,0.0825456624600002,0.113445953526904,1.0798785386269
E,"E,F & I",kilpaddoge,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE wind priority,55,178.0733995113,171.92467195601,0,6.14872755529,0,6.14872755528999
E,"E,F & I",kilpaddoge,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE wind priority,55,178.0733995113,171.24019595527,0,6.83320355603001,0,6.83320355603001
I,"E,F & I",barnahely,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE Solar not priority,3.31666335,3.88318261684,2.89666016073852,0.759994902709999,0.07342022539,0.153107328001473,0.986522456101473
E,"E,F & I",kilpaddoge,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE wind priority,55,178.0733995113,171.15603583617,0,6.91736367513001,0,6.91736367513001
E,"E,F & I",kilpaddoge,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,55,178.0733995113,172.73953212051,0,5.33386739079,0,5.33386739079
I,"E,F & I",barnahely,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE Solar not priority,3.31666335,3.88318261684,2.96710231069731,0.6528340583,0.07342707355,0.189819174292682,0.916080306142682
E,"E,F & I",kilpaddoge,2030,100% ECP,Grandfathering,IE wind priority,55,178.0733995113,171.54378368848,0,6.52961582282,0,6.52961582281999
E,"E,F & I",kilpaddoge,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,55,178.0733995113,171.54378368848,0,6.52961582282,0,6.52961582281999
I,"E,F & I",barnahely,2030,33% ECP,Grandfathering,IE Solar not priority,3.31666335,3.88318261684,3.05889724568976,0.53806055616,0.0721828385199998,0.21404197647024,0.824285371150239
E,"E,F & I",kilpaddoge,2035,66% ECP,Grandfathering,IE wind priority,55,178.0733995113,176.55376528858,0,1.51963422272001,0,1.51963422271999
E,"E,F & I",kilpaddoge,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,55,178.0733995113,176.55376528858,0,1.51963422272001,0,1.51963422271999
E,"E,F & I",kilpaddoge,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE wind priority,55,178.0733995113,174.99088456305,0,3.08251494825,0,3.08251494825
E,"E,F & I",kilpaddoge,2035,100% ECP,Grandfathering,IE wind priority,55,178.0733995113,176.33315640957,0,1.74024310173001,0,1.74024310173001
H2,H2 & K,wexford,2035,100% ECP,Grandfathering,IE Solar not priority,114.03,133.5074643,97.7702915617464,30.06539166488,1.20491186737,4.46686920600354,35.7371727382535
E,"E,F & I",knockacummer,2030,Initial,Grandfathering,IE wind priority,105,339.95830815763,330.88677498523,0,9.07153317239999,0,9.07153317239997
E,"E,F & I",knockacummer,2030,33% ECP,Grandfathering,IE wind priority,105,339.95830815763,329.7754704118,0,10.18283774583,0,10.1828377458299
H2,H2 & K,wexford,2035,100% ECP,Grandfathering,IE wind priority,27,76.37558492613,75.64656685449,0,0.729018071639998,0,0.729018071639992
E,"E,F & I",knockacummer,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE wind priority,105,339.95830815763,328.2198282795,0,11.7384798781299,0,11.7384798781299
E,"E,F & I",knockacummer,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE wind priority,105,339.95830815763,326.91310136914,0,13.0452067884899,0,13.0452067884899
H2,H2 & K,wexford,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE Solar not priority,114.03,133.5074643,97.8031275591005,29.95524442267,1.14909340146999,4.59999891675949,35.7043367408994
I,"E,F & I",barnahely,2030,100% ECP,Grandfathering,IE Solar not priority,9.95,11.6495595,7.49466849045276,3.69704685466,0.255708985400009,0.202135169487223,4.15489100954723
E,"E,F & I",glenlara 220kv side,2035,100% ECP,Grandfathering,IE wind priority,53,171.59800316509,169.92104163097,0,1.67696153412001,0,1.67696153412
E,"E,F & I",glenlara 220kv side,2035,100% ECP,Grandfathering,IE wind not priority,13.8,44.68023478634,22.6400468159678,7.89533364936,0.149013447179996,13.9958408738321,22.0401879703721
E,"E,F & I",glenlara 220kv side,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE wind not priority,13.8,44.68023478634,27.8184797542691,9.98584578324,0.770149137339998,6.10576011149087,16.8617550320708
E,"E,F & I",glenlara 220kv side,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE wind priority,53,171.59800316509,165.67286570286,0,5.92513746222999,0,5.92513746222999
I,"E,F & I",castleview,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE Solar not priority,1.16333217,1.36204093794,1.01601446829687,0.26657107642,0.0257524208899999,0.0537029723331208,0.34602646964312
E,"E,F & I",glenlara 220kv side,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE wind not priority,13.8,44.68023478634,26.1413046604754,12.94821680476,0.775811585700001,4.81490173540459,18.5389301258646
E,"E,F & I",glenlara 220kv side,2030,33% ECP + 2.6 GW Offshore,Grandfathering,IE wind priority,53,171.59800316509,165.01327973848,0,6.58472342660999,0,6.58472342660998
I,"E,F & I",castleview,2030,33% ECP + 1.3 GW Offshore,Grandfathering,IE Solar not priority,1.16333217,1.36204093794,1.04072231799926,0.228984006359999,0.0257548228000001,0.0665797907807368,0.321318619940736
E,"E,F & I",glenlara 220kv side,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE wind not priority,13.8,44.68023478634,23.6779247781719,13.86317337546,0.770764447320001,6.36837218538802,21.002310008168
E,"E,F & I",glenlara 220kv side,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE wind priority,53,171.59800316509,164.93217998731,0,6.66582317777999,0,6.66582317777999
I,"E,F & I",castleview,2030,33% ECP,Grandfathering,IE Solar not priority,1.16333217,1.36204093794,1.07291973740368,0.188726767959999,0.0253184026399999,0.0750760299363148,0.289121200536314
E,"E,F & I",glenlara 220kv side,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE wind not priority,13.8,44.68023478634,32.2578893531569,7.24858643496,0.733907419579999,4.4398515786431,12.4223454331831
E,"E,F & I",glenlara 220kv side,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,53,171.59800316509,166.45809458862,0,5.13990857646999,0,5.13990857646998
E,"E,F & I",glenlara 220kv side,2030,100% ECP,Grandfathering,IE wind not priority,13.8,44.68023478634,27.3912393307858,11.92003537324,0.757129654819998,4.61183042749419,17.2889954555541
E,"E,F & I",glenlara 220kv side,2030,100% ECP,Grandfathering,IE wind priority,53,171.59800316509,165.30582791792,0,6.29217524717,0,6.29217524717
E,"E,F & I",knockacummer,2030,33% ECP + 2.6 GW Offshore andReduced BESS Sensitivity,Grandfathering,IE wind priority,105,339.95830815763,326.75243205073,0,13.2058761068999,0,13.2058761068999
I,"E,F & I",barnahely,2035,100% ECP,Grandfathering,IE Solar not priority,9.95,11.6495595,7.90586394716366,2.62343810459,0.10513788541999,1.01511956282633,3.74369555283633
E,"E,F & I",glenlara 220kv side,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,53,171.59800316509,165.30582791792,0,6.29217524717,0,6.29217524717
I,"E,F & I",barnahely,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE Solar not priority,6.6333267,7.76636523359999,5.40358716001668,1.74254952753999,0.0668447947699997,0.553383751273312,2.3627780735833
I,"E,F & I",barnahely,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,6.6333267,7.76636523359999,6.10224069369727,1.23299086370999,0.0570010166200001,0.374132659572721,1.66412453990271
E,"E,F & I",glenlara 220kv side,2035,66% ECP,Grandfathering,IE wind not priority,13.8,44.68023478634,22.090216851624,7.13369248323,0.136944061790003,15.3193813896959,22.5900179347159
E,"E,F & I",glenlara 220kv side,2035,66% ECP,Grandfathering,IE wind priority,53,171.59800316509,170.13362836878,0,1.46437479631001,0,1.46437479631
I,"E,F & I",barnahely,2035,66% ECP,Grandfathering,IE Solar not priority,6.6333267,7.76636523359999,5.66214450376735,1.23299086370999,0.0570010166200001,0.814228849502647,2.10422072983263
E,"E,F & I",glenlara 220kv side,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE wind not priority,13.8,44.68023478634,26.8136053975959,7.13369248323,0.136944061790003,10.595992843724,17.866629388744
E,"E,F & I",glenlara 220kv side,2035,66% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,53,171.59800316509,170.13362836878,0,1.46437479631001,0,1.46437479631
E,"E,F & I",glenlara 220kv side,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE wind not priority,13.8,44.68023478634,25.9814580607079,13.06786396181,0.269890555780001,5.36102220804205,18.698776725632
E,"E,F & I",glenlara 220kv side,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE wind priority,53,171.59800316509,168.62757966975,0,2.97042349534001,0,2.97042349534
I,"E,F & I",barnahely,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE Solar not priority,9.95,11.6495595,7.59868990711644,3.69704685466,0.255708985400009,0.0981137528235494,4.05086959288356
E,"E,F & I",glenlara 220kv side,2030,100% ECP Maintenance Sensitivity,Grandfathering,IE wind not priority,13.8,44.68023478634,28.6714107342233,11.92003537324,0.757129654819998,3.33165902405665,16.0088240521166
E,"E,F & I",knockacummer,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,105,339.95830815763,329.7754704118,0,10.18283774583,0,10.1828377458299
H2,H2 & K,wexford,2035,66% ECP + 4.7 GW Offshore,Grandfathering,IE wind priority,27,76.37558492613,74.97106184291,0,1.40452308321999,0,1.40452308321999
E,"E,F & I",knockacummer,2030,100% ECP,Grandfathering,IE wind priority,105,339.95830815763,327.49267795069,0,12.4656302069399,0,12.4656302069399
H2,H2 & K,wexford,2030,33% ECP Maintenance Sensitivity,Grandfathering,IE wind priority,27,76.37558492613,73.95232687732,0,2.42325804880999,0,2.42325804880999
