times,n_units,stations,units
313,5,?|DERRYIRON|KINNEGAD|TIMAHOE,GU_405100|GU_406590|GU_407510|GU_407670|GU_408120
233,4,KNOCKALOUGH|KNOCKRANNY|SALTHILL|UGGOOL,GU_401500|GU_401960|GU_403380|GU_405210
222,2,LODGEWOOD|WATERFORD,GU_401360|GU_401760
216,2,?|RATHKEALE,GU_401080|GU_404570
188,4,?|KILCUMBER,GU_401690|GU_405140|GU_407330|GU_408060
144,6,?|DERRYCARNEY|KILCUMBER|STONESTOWN,GU_401690|GU_405140|GU_405160|GU_406620|GU_407330|GU_408060
132,8,BALLYLICKEY|BINBANE|BOOLTIAGH|CLAHANE|MACROOM|MULREAVY|SRAHNAKILLY|UGGOOL,GU_401790|GU_401920|GU_401980|GU_401990|GU_404480|GU_404630|GU_405080|GU_405130
125,5,BOOLTIAGH|CORDERRY|GARVAGH|LISHEEN|TRIEN,GU_400600|GU_400940|GU_401730|GU_401750|GU_402200
120,2,COOMAGEARLAH|SLIEVECALLAN,GU_400730|GU_402270
114,2,BINBANE|MULREAVY,GU_401920|GU_404630
112,3,BOOLTIAGH|SRAHNAKILLY|UGGOOL,GU_401990|GU_404480|GU_405130
107,3,BOOLTIAGH|CORDERRY|GARVAGH,GU_400940|GU_401730|GU_402200
88,2,CORDERRY|RATHKEALE,GU_401090|GU_402160
84,2,CORDERRY|GARVAGH,GU_400940|GU_402200
80,4,?|DERRYIRON|KINNEGAD,GU_405100|GU_407510|GU_407670|GU_408120
73,5,BOGGERAGH|CLOGHBOOLA|CORDERRY|GLENLARA|RATHKEALE,GU_401090|GU_401240|GU_401840|GU_402160|GU_404500
66,3,COOMAGEARLAH|CORDAL|SLIEVECALLAN,GU_400730|GU_402130|GU_402270
63,7,?|BOGGERAGH|CLOGHBOOLA|CORDAL|CORDERRY|GLENLARA|RATHKEALE,GU_401090|GU_401240|GU_401840|GU_402160|GU_402260|GU_404500|GU_408140
60,8,BELLACORICK|CUNGHILL|DALTON_A1|GLENREE|SRAHNAKILLY|TAWNAGHMORE,GU_400021|GU_401280|GU_403400|GU_403750|GU_403760|GU_403880|GU_403990|GU_406560
60,8,ARKLOW|LODGEWOOD|ROSSPILE|TULLABEG|WATERFORD,GU_401290|GU_401340|GU_401710|GU_401940|GU_403390|GU_404460|GU_405150|GU_406470
