generator,psse_bus,psse_bus_name,bus,station,carrier,p_nom,in_service,lat,lon,cell_lat,cell_lon,cell
1243-1,1243,CELTIC,1243,,unknown,700.0,False,,,,,
10271-1,10271,HY_ARDNG1,1021,ARDNACRUSHA,hydro,21.0,True,52.7049873,-8.6163685,52.7,-8.6,+052.70_-0008.60
10272-2,10272,HY_ARDNG2,1021,ARDNACRUSHA,hydro,22.0,True,52.7049873,-8.6163685,52.7,-8.6,+052.70_-0008.60
10273-3,10273,HY_ARDNG3,1021,ARDNACRUSHA,hydro,19.0,True,52.7049873,-8.6163685,52.7,-8.6,+052.70_-0008.60
10274-4,10274,HY_ARDNG4,1021,ARDNACRUSHA,hydro,24.0,True,52.7049873,-8.6163685,52.7,-8.6,+052.70_-0008.60
10275-3,10275,W_KNOCKAST,1021,ARDNACRUSHA,wind,7.5,True,52.7049873,-8.6163685,52.7,-8.6,+052.70_-0008.60
10276-2,10276,W_MIENVEE,1021,ARDNACRUSHA,wind,0.66,True,52.7049873,-8.6163685,52.7,-8.6,+052.70_-0008.60
10277-1,10277,PV_DROMSALLA,1021,ARDNACRUSHA,solar,4.0,True,52.7049873,-8.6163685,52.7,-8.6,+052.70_-0008.60
10371-1,10371,BALRUNTAGH,1031,,unknown,115.0,True,,,,,
10401-1,10401,BS_AGHADA,1041,AGHADA,biomass,19.0,False,51.8356384,-8.227215,51.800000000000004,-8.200000000000001,+051.80_-0008.20
10470-1,10470,AGH_CCGT,10422,LONGPOINT,gas,456.69,True,51.8338841,-8.2332664,51.800000000000004,-8.200000000000001,+051.80_-0008.20
10471-1,10471,BS_AGHADA,1042,AGHADA,biomass,159.0,False,51.8356384,-8.227215,51.800000000000004,-8.200000000000001,+051.80_-0008.20
10472-11,10472,AGH_G11,1052,AGHADA_B,unknown,90.0,False,51.8324792,-8.2298695,51.800000000000004,-8.200000000000001,+051.80_-0008.20
10473-12,10473,AGH_G12,1052,AGHADA_B,unknown,90.0,False,51.8324792,-8.2298695,51.800000000000004,-8.200000000000001,+051.80_-0008.20
10474-14,10474,AGH_G14,1062,AGH_AT14,unknown,90.0,False,51.8324792,-8.2298695,51.800000000000004,-8.200000000000001,+051.80_-0008.20
10671-2,10671,W_CORRIEM,1061,ARIGNA,wind,4.8,True,54.0945702,-8.0755119,54.1,-8.1,+054.10_-0008.10
10672-3,10672,W_KILRONAN,1061,ARIGNA,wind,5.0,True,54.0945702,-8.0755119,54.1,-8.1,+054.10_-0008.10
10673-1,10673,W_SPIONKO,1061,ARIGNA,wind,1.2,True,54.0945702,-8.0755119,54.1,-8.1,+054.10_-0008.10
10674-5,10674,W_SELTANAV,1061,ARIGNA,wind,4.6,True,54.0945702,-8.0755119,54.1,-8.1,+054.10_-0008.10
10811-1,10811,PV_LAGHTANE,1081,AHANE,solar,4.0,True,52.6617276,-8.5076209,52.7,-8.5,+052.70_-0008.50
10872-1,10872,PV_MULKEAR(W,1081,AHANE,solar,4.0,True,52.6617276,-8.5076209,52.7,-8.5,+052.70_-0008.50
11204-1,11204,BIO_ARKLOW,1121,ARKLOW,unknown,1.0,False,52.8151839,-6.147732,52.800000000000004,-6.1000000000000005,+052.80_-0006.10
11262-1,11262,W_ARKLOW OFF,11261,,wind,800.0,True,,,,,
11271-1,11271,W_ARKLOWB,1121,ARKLOW,wind,25.2,True,52.8151839,-6.147732,52.800000000000004,-6.1000000000000005,+052.80_-0006.10
11272-1,11272,PV_TEMPLERAI,1121,ARKLOW,solar,4.0,True,52.8151839,-6.147732,52.800000000000004,-6.1000000000000005,+052.80_-0006.10
11273-1,11273,W_BALLYMANUS,1121,ARKLOW,wind,39.99,True,52.8151839,-6.147732,52.800000000000004,-6.1000000000000005,+052.80_-0006.10
11274-1,11274,PV_COOLBOY S,1121,ARKLOW,solar,10.0,True,52.8151839,-6.147732,52.800000000000004,-6.1000000000000005,+052.80_-0006.10
11275-1,11275,PV_JOHNSTOWN,1121,ARKLOW,solar,22.0,True,52.8151839,-6.147732,52.800000000000004,-6.1000000000000005,+052.80_-0006.10
11303-1,11303,BS_TOBERTORE,11310,TOBERTOREEN,biomass,11.0,False,52.43755,-9.3004089,52.400000000000006,-9.3,+052.40_-0009.30
11371-1,11371,W_ATHEA,1131,ATHEA,wind,34.35,True,52.43755,-9.3004089,52.400000000000006,-9.3,+052.40_-0009.30
11372-1,11372,W_TOBERTOREE,11310,TOBERTOREEN,wind,23.15,True,52.43755,-9.3004089,52.400000000000006,-9.3,+052.40_-0009.30
11412-1,11412,PV_SHANNAGH,1141,ATHLONE,solar,4.0,True,53.4230436,-7.9745082,53.400000000000006,-8.0,+053.40_-0008.00
11424-1,11424,PV_ROOAUN,1141,ATHLONE,solar,4.0,True,53.4230436,-7.9745082,53.400000000000006,-8.0,+053.40_-0008.00
11471-1,11471,W_CLOONCON E,1141,ATHLONE,wind,0.9,True,53.4230436,-7.9745082,53.400000000000006,-8.0,+053.40_-0008.00
11474-1,11474,DERRYMANY,1141,ATHLONE,unknown,5.0,True,53.4230436,-7.9745082,53.400000000000006,-8.0,+053.40_-0008.00
11571-1,11571,PV_BALLINKNO,1151,,solar,50.0,True,,,,,
12101-XX,12101,BALLYVOUSKIL,1211,BALLYVOUSKIL,unknown,0.0,False,52.0059847,-9.0797175,52.0,-9.1,+052.00_-0009.10
12171-1,12171,B_BALLYVOUSK,1211,BALLYVOUSKIL,unknown,80.0,False,52.0059847,-9.0797175,52.0,-9.1,+052.00_-0009.10
12271-1,12271,PV_WOODSTOCK,1221,ATHY,solar,4.99,True,52.9934345,-6.9993402,53.0,-7.0,+053.00_-0007.00
12371-1,12371,W_BALLYWATER,1231,BALLYWATER,wind,31.5,True,52.5378526,-6.2495207,52.5,-6.2,+052.50_-0006.20
12372-2,12372,W_BALLYWATER,1231,BALLYWATER,wind,10.5,True,52.5378526,-6.2495207,52.5,-6.2,+052.50_-0006.20
12571-1,12571,W_BOOLTIAGH,1251,BOOLTIAGH,wind,19.45,True,52.7756037,-9.240483,52.800000000000004,-9.200000000000001,+052.80_-0009.20
12572-1,12572,W_BOOLTIAGH_,1251,BOOLTIAGH,wind,12.0,True,52.7756037,-9.240483,52.800000000000004,-9.200000000000001,+052.80_-0009.20
12574-1,12574,W_LISSYCASEY,1251,BOOLTIAGH,wind,13.399,True,52.7756037,-9.240483,52.800000000000004,-9.200000000000001,+052.80_-0009.20
12575-1,12575,W_CROSSMORE,1251,BOOLTIAGH,wind,15.0,True,52.7756037,-9.240483,52.800000000000004,-9.200000000000001,+052.80_-0009.20
12576-1,12576,W_CROSSMORE,1251,BOOLTIAGH,wind,10.2,True,52.7756037,-9.240483,52.800000000000004,-9.200000000000001,+052.80_-0009.20
12577-1,12577,W_GORTAHEERA,1251,BOOLTIAGH,wind,4.2,True,52.7756037,-9.240483,52.800000000000004,-9.200000000000001,+052.80_-0009.20
12602-1,12602,BALDONNELL,1261,,unknown,100.0,False,,,,,
