,line,factor,rating_mva,nw_dispatch_down_mwh
0,3581-89516-1,0.8,98.4,28022.742729952355
1,3581-89516-1,0.9,110.7,25126.476056007858
2,3581-89516-1,1.0,123.0,22432.12300017728
3,3581-89516-1,1.1,135.3,22045.57031217827
4,3581-89516-1,1.2,147.6,22045.57031217827
5,3691-4041-1,0.8,153.60000000000002,22219.882885463405
6,3691-4041-1,0.9,172.8,22318.60413206363
7,3691-4041-1,1.0,192.0,22432.12300017728
8,3691-4041-1,1.1,211.20000000000002,22456.7840610359
9,3691-4041-1,1.2,230.39999999999998,22456.49305896993
