bus,line_binding_hours,nw_dispatch_down_mwh,battery_mwh_throughput,dispatch_down_removed_mwh
4991 SORNE HILL,142,21597.318926539203,804.5163557825283,834.8040736380754
5361 TRILLICK,142,21597.562479356737,804.5163557825003,834.5605208205416
3581 LETTERKENNY,136,21598.955569400838,804.5163557824216,833.1674307764406
3591 LENALEA,135,21626.216540361544,835.9793661105911,805.9064598157347
4071 MEENTYCAT,138,21660.0209352529,846.1756204210978,772.1020649243801
2321 DRUMKEEN,137,21664.39783951135,846.175620420991,767.7251606659265
5191 TIEVEBRACK,135,21686.906067092135,973.9994988528786,745.216933085143
1571 ARDNAGAPPARY,135,21689.27889611986,973.9994988528788,742.844104057418
28019 GOLAGH,134,21793.72101047603,1029.8894273520984,638.4019897012477
51911 CROAGHONAGH,135,21793.874878923707,1030.0244603187105,638.2481212535713
28710 CLOGHER,135,21793.874878923725,1030.0244603187252,638.2481212535531
28712 CLOGHER,133,21794.005103130145,1030.0437829490813,638.1178970471337
2801 GOLAGH,133,21794.857673903392,1030.0274964036983,637.2653262738859
2871 CLOGHER,135,21794.937930390228,1030.0274964035768,637.1850697870505
2870 CLOGHER,135,21795.581066305527,1030.0447937527672,636.5419338717511
1341 BINBANE,146,21804.553314327964,1033.5855460196271,627.5696858493138
17061 CATH,131,21873.910967879336,1104.289261215044,558.2120322979426
1701 CATH_FALL,131,21873.917667736045,1104.2892612148908,558.2053324412336
17010 CATH FALL,131,21874.087624286974,1104.2788200802484,558.0353758903038
1761 CLIFF,136,21876.009127683305,1098.0283916491412,556.1138724939738
5041 SRANANAGH,125,22110.274061070006,1321.9227081357685,321.8489391072726
4981 SLIGO,131,22131.51844924819,1324.0944135589984,300.6045509290889
1631 CORDERRY,131,22150.25763138289,1324.3277937465218,281.8653687943879
1931 CUNGHILL,130,22163.32060186933,1325.859007573547,268.80239830794744
4371 GLENREE,134,22204.906824088343,1285.043251614872,227.21617608893575
5042 SRANANAGH,131,22222.202272864688,1285.0432516148032,209.92072731259032
4041 MOY,132,22233.32182019415,1285.0432516148037,198.80117998312926
40461 MOY,132,22233.321820194185,1285.043251614804,198.80117998309288
