,p_mw,hours,energy_mwh,line_binding_hours,nw_dispatch_down_mwh,dispatch_down_removed_pct
0,50,2,100,138,21939.305065892873,2.1969295294988815
1,50,4,200,142,21597.318926539203,3.7214670837507353
2,50,8,400,144,21207.555025667745,5.4589927779009395
3,100,2,200,143,21565.109569334963,3.865052945882398
4,100,4,400,150,21122.434949937535,5.838448952109406
5,100,8,800,150,19961.878991318023,11.012083024151275
6,200,2,400,146,21116.393756695004,5.865379944073398
7,200,4,800,155,19887.3270512449,11.344427582321412
8,200,8,1600,156,19022.697640408747,15.198852822541971
9,400,2,800,155,19887.244416041754,11.344795961199981
10,400,4,1600,156,19022.52568295533,15.199619390438452
11,400,8,3200,157,17495.82967335621,22.00546656587991
