name,static_mwh,dlr_mwh
40771-1,2841.5431156749873,2803.3190444982547
17078-1,1785.337845967889,1783.4455113538968
35971-1,1758.7540305647633,1740.5684390880501
35875-1,1082.2639591815223,1076.4684813396516
49971-1,1080.7794867389673,1065.831492755679
40772-2,917.7253059739216,912.9805714337866
35876-3,850.3007660609414,848.6004088679674
19371-1,811.3289443588496,799.8450549876495
16385-1,801.856085412268,800.066127152759
40773-3,695.8253822791219,684.60151922026
16392-1,575.9609650707255,581.090522900676
13476-3,520.2213070772771,520.2213070772771
16382-1,504.00826303658664,500.3471651459915
51971-1,492.24677416679606,351.7171918838312
16377-1,443.6258549955286,440.403372744638
13473-4,436.723601487563,436.723601487563
16374-4,377.0819767461993,376.0158225774975
19372-2,372.13843611004324,372.13843611004324
35877-6,356.4407441288853,354.5109240766276
16373-3,335.183979329955,335.85672046502043
13475-6,334.4279831211067,334.4279831211067
68204-1,302.59270457106095,283.5869490233024
49976-3,298.7893988327051,287.72445770244246
13474-1,262.29645734988765,262.29645734988765
53673-3,257.9471760132843,242.43673023292433
35873-3,246.16110540108127,246.16110540108127
16376-6,243.99422024754074,242.90308759946606
49973-2,243.63139580045907,241.4266925589103
16375-1,195.19537619803262,194.6434846283517
35871-1,184.84897984118555,184.62082905081093
15772-1,181.3333162465866,177.94431640864192
35872-2,177.38079653901445,177.38079653901445
53674-4,168.7188416469658,165.98006616875762
16371-1,168.3355255514465,168.3355255514465
16372-2,167.5919896649775,168.3355255514465
13479-9,148.6346591649363,148.6346591649363
49974-6,139.92343677729068,138.65722207775252
49975-4,137.16859282413682,135.67864218341927
13478-1,131.14822867494382,131.14822867494382
15771-1,119.67998872274715,118.55931576204027
13477-2,111.47599437370224,111.47599437370224
13472-DW,111.47599437370224,111.47599437370224
53671-1,110.2278939859481,104.09395762705637
68402-1,102.80045451392562,86.00076029316733
53672-2,97.83876868945973,91.63631592847463
68260-1,97.47971625485116,80.43805319928492
17075-7,86.55783092546292,86.55783092546292
16378-1,78.76823514253942,78.19606551621462
49972-7,76.34771496618568,75.41169178921834
49992-1,64.7450319590268,61.16045363761508
43774-2,60.86487447082254,60.86487447082254
43771-1,49.903850224978896,49.903850224978896
68284-1,46.40196326472483,45.67163301725623
49978-2,44.91982485899117,42.07712509059229
68195-1,38.23268349714709,38.23268349714709
40471-1,32.36873693200221,32.36873693200221
13471-1,28.85261030848764,28.85261030848764
49977-1,19.29560119558917,18.352248161718038
16379-2,14.294610883189254,14.190775343993888
49979-3,9.249290279860968,8.737207662516436
17077-8,0.8743215244996255,0.8743215244996255
51972-1,0.0,0.0
68269-1,0.0,0.0
68407-1,0.0,0.0
68312-1,0.0,0.0
68269-2,0.0,0.0
49871-1,0.0,0.0
68268-1,0.0,0.0
68087-1,0.0,0.0
68254-1,0.0,0.0
68244-1,0.0,0.0
68223-1,0.0,0.0
68101-1,0.0,0.0
69197-1,0.0,0.0
