station,bus,offered_mwh,private_mwh_per_mw,external_mwh_per_mw,system_mwh_per_mw,own_dispatch_down_pct,tier1_congestion_cost,private_rank,system_rank,tier1_rank
4371 GLENREE,4371,3237.289239450076,26.825034075223524,-3.8116797081474214,23.013354367076104,58.568678775548115,36.683891616310724,2,1,1
1631 CORDERRY,1631,3897.6213243971856,27.22863610909186,-5.266121352936607,21.96251475615525,65.0701878878612,76.01361283117595,1,2,6
5042 SRANANAGH,5042,3020.9060027054456,25.675877210756404,-4.640185198083055,21.035692012673348,57.50301865109052,53.525363267229395,9,3,5
4041 MOY,4041,3434.0947811402493,24.66460781561434,-4.2369947056146335,20.427613109999708,64.08863268557666,38.674748197566686,11,4,2
40461 MOY,40461,3434.0947811402493,24.66460781561434,-4.236994705621619,20.42761310999272,64.08863268557666,38.674748197566785,11,5,3
1931 CUNGHILL,1931,3213.507594429406,23.84561990686533,-3.668629526786972,20.176990380078358,62.89783172101171,46.22904277489405,14,6,4
4981 SLIGO,4981,3020.9060027054456,25.675877210756404,-5.675669248772319,20.000207961984085,57.50301865109052,86.12404190366195,9,7,7
5041 SRANANAGH,5041,3020.9060027054456,25.675877210756404,-5.935322067753877,19.740555143002524,57.50301865109052,93.99968313283412,9,8,8
5191 TIEVEBRACK,5191,4998.430170583898,26.657787422298625,-7.598420748857316,19.05936667344131,73.33384031332325,422.40037664760825,3,9,28
17061 CATH,17061,3707.44055877782,26.29403592620864,-9.131496036215685,17.162539889992953,64.5388300778629,193.17995789459644,5,10,9
1701 CATH_FALL,1701,3707.44055877782,26.29403592620864,-9.131496036224998,17.16253988998364,64.5388300778629,193.17995789459695,5,11,10
1761 CLIFF,1761,3707.44055877782,26.29403592620864,-9.131496036224998,17.16253988998364,64.5388300778629,193.1799578946054,5,11,11
17010 CATH FALL,17010,3707.44055877782,26.29403592620864,-9.131986165090929,17.16204976111771,64.5388300778629,193.19603937423142,5,13,12
3581 LETTERKENNY,3581,4565.022875283383,16.994790401765602,-0.1443795943725854,16.85041080739302,81.3858650152869,384.62924063471735,16,14,27
1571 ARDNAGAPPARY,1571,4134.842900831825,21.02914224736872,-5.803071957754437,15.226070289614286,74.57080867191085,316.5607908249973,15,15,26
2321 DRUMKEEN,2321,3646.3756557542047,14.537229647257272,-2.281288587821182,12.25594105943609,80.06619309187654,279.2856589191488,24,16,23
4071 MEENTYCAT,4071,3646.3756557542047,14.537229647257117,-2.281288587821182,12.255941059435935,80.06619309187677,279.2856589191498,25,17,24
3591 LENALEA,3591,3676.663118186956,14.32155160529392,-2.368870113289449,11.95268149200447,80.523709754028,221.45804495638424,26,18,20
1341 BINBANE,1341,3388.6712193484127,23.953209657660736,-12.254340563765727,11.69886909389501,64.65692876769178,305.5304998219939,13,19,25
2870 CLOGHER,2870,3037.892514324564,15.70934031071972,-6.5471269422629845,9.162213368456735,74.14434474451363,193.2246621250598,17,20,13
28712 CLOGHER,28712,3037.892514324564,15.70934031071512,-6.547210704411846,9.162129606303274,74.14434474452119,193.22802702966607,18,21,14
2801 GOLAGH,2801,3037.892514324564,15.416093216219792,-6.255322450457607,9.160770765762186,74.62699364192717,193.28225347718637,20,22,15
2871 CLOGHER,2871,3037.892514324564,15.41609321621981,-6.255322450476233,9.160770765743578,74.62699364192714,193.28225347718737,19,23,16
28710 CLOGHER,28710,3037.892514324564,15.416072721436569,-6.255544493473135,9.160528227963434,74.62702737383694,193.29236528992308,21,24,17
51911 CROAGHONAGH,51911,3037.892514324564,15.416072721436569,-6.255544493473135,9.160528227963434,74.62702737383694,193.29236528992402,21,24,18
28019 GOLAGH,28019,3037.892514324564,15.415161328623274,-6.265439569174777,9.149721759448497,74.628527415081,193.74298429421202,23,26,19
5361 TRILLICK,5361,2421.9513090507967,6.594621218474309,-0.010733963081147522,6.5838872553931616,86.3857270915598,266.14030639804304,27,27,21
4991 SORNE HILL,4991,2421.9513090507967,6.594621218474309,-0.010733963081147522,6.5838872553931616,86.3857270915598,266.14030639804355,27,27,22
