name,bus,carrier,p_nom,shift_factor,mw_on_monitored_at_full_output,station,monitored_line,in_group
68204-1,3581,wind,20.0,0.5134304236058033,10.268608472116066,3581 LETTERKENNY,3581-89516-1,True
35877-6,3581,wind,4.99,0.5134304236058033,2.5620178137929583,3581 LETTERKENNY,3581-89516-1,True
35876-3,3581,wind,11.88,0.5134304236058033,6.099553432436943,3581 LETTERKENNY,3581-89516-1,True
35875-1,3581,wind,15.0,0.5134304236058033,7.701456354087049,3581 LETTERKENNY,3581-89516-1,True
35873-3,3581,wind,3.4,0.5134304236058033,1.745663440259731,3581 LETTERKENNY,3581-89516-1,True
35872-2,3581,wind,2.45,0.5134304236058033,1.2579045378342182,3581 LETTERKENNY,3581-89516-1,True
35871-1,3581,wind,2.55,0.5134304236058033,1.3092475801947983,3581 LETTERKENNY,3581-89516-1,True
49971-1,4991,wind,31.5,0.5134304236058019,16.17305834358276,4991 SORNE HILL,3581-89516-1,True
49977-1,4991,wind,0.6,0.5134304236058019,0.30805825416348115,4991 SORNE HILL,3581-89516-1,True
49978-2,4991,wind,1.4,0.5134304236058019,0.7188025930481227,4991 SORNE HILL,3581-89516-1,True
49979-3,4991,wind,0.3,0.5134304236058019,0.15402912708174057,4991 SORNE HILL,3581-89516-1,True
49992-1,4991,wind,2.1,0.5134304236058019,1.0782038895721842,4991 SORNE HILL,3581-89516-1,True
49974-6,4991,wind,4.25,0.5134304236058019,2.1820793003246584,4991 SORNE HILL,3581-89516-1,True
49976-3,4991,wind,9.2,0.5134304236058019,4.723559897173377,4991 SORNE HILL,3581-89516-1,True
49975-4,4991,wind,4.2,0.5134304236058019,2.1564077791443683,4991 SORNE HILL,3581-89516-1,True
49973-2,4991,wind,7.4,0.5134304236058019,3.7993851346829346,4991 SORNE HILL,3581-89516-1,True
49972-7,4991,wind,2.3,0.5134304236058019,1.1808899742933443,4991 SORNE HILL,3581-89516-1,True
68195-1,5361,wind,4.0,0.5134304236058018,2.0537216944232073,5361 TRILLICK,3581-89516-1,True
53674-4,5361,wind,9.99,0.5134304236058018,5.12916993182196,5361 TRILLICK,3581-89516-1,True
53673-3,5361,wind,14.0,0.5134304236058018,7.188025930481226,5361 TRILLICK,3581-89516-1,True
53672-2,5361,wind,4.8,0.5134304236058018,2.4644660333078487,5361 TRILLICK,3581-89516-1,True
53671-1,5361,wind,5.0,0.5134304236058018,2.567152118029009,5361 TRILLICK,3581-89516-1,True
68284-1,5361,wind,6.9,0.5134304236058018,3.542669922880033,5361 TRILLICK,3581-89516-1,True
35971-1,3591,wind,30.5,0.48618811081636715,14.828737379899199,3591 LENALEA,3581-89516-1,True
40771-1,4071,wind,52.9,0.4824355175192133,25.520838876766383,4071 MEENTYCAT,3581-89516-1,True
40772-2,4071,wind,18.06,0.4824355175192133,8.712785446396992,4071 MEENTYCAT,3581-89516-1,True
40773-3,4071,wind,14.0,0.4824355175192133,6.754097245268986,4071 MEENTYCAT,3581-89516-1,True
15772-1,1571,wind,3.0,0.4123400766375802,1.2370202299127406,1571 ARDNAGAPPARY,3581-89516-1,True
15771-1,1571,wind,1.98,0.4123400766375802,0.8164333517424088,1571 ARDNAGAPPARY,3581-89516-1,True
68260-1,1571,wind,17.96,0.4123400766375802,7.405627776410941,1571 ARDNAGAPPARY,3581-89516-1,True
68402-1,5191,wind,29.9,0.41234007663715383,12.328968291450899,5191 TIEVEBRACK,3581-89516-1,True
51971-1,51911,wind,91.2,0.3803544681252062,34.688327493018804,51911 CROAGHONAGH,3581-89516-1,True
51972-1,51911,wind,48.0,0.3803544681252062,18.257014470009896,51911 CROAGHONAGH,3581-89516-1,True
68223-1,1341,wind,0.5,0.360659806786327,0.1803299033931635,1341 BINBANE,3581-89516-1,True
68244-1,1341,wind,1.9,0.360659806786327,0.6852536328940212,1341 BINBANE,3581-89516-1,True
68268-1,1341,wind,4.2,0.360659806786327,1.5147711885025734,1341 BINBANE,3581-89516-1,True
68269-1,1341,wind,20.0,0.360659806786327,7.213196135726539,1341 BINBANE,3581-89516-1,True
68269-2,1341,wind,3.6,0.360659806786327,1.298375304430777,1341 BINBANE,3581-89516-1,True
68407-1,1341,wind,9.4,0.360659806786327,3.3902021837914735,1341 BINBANE,3581-89516-1,True
13471-1,1341,wind,0.66,0.360659806786327,0.2380354724789758,1341 BINBANE,3581-89516-1,True
17075-7,1341,wind,1.98,0.360659806786327,0.7141064174369274,1341 BINBANE,3581-89516-1,True
13477-2,1341,wind,2.55,0.360659806786327,0.9196825073051337,1341 BINBANE,3581-89516-1,True
13473-4,1341,wind,9.99,0.360659806786327,3.6029914697954064,1341 BINBANE,3581-89516-1,True
13472-DW,1341,wind,2.55,0.360659806786327,0.9196825073051337,1341 BINBANE,3581-89516-1,True
13474-1,1341,wind,6.0,0.360659806786327,2.163958840717962,1341 BINBANE,3581-89516-1,True
13475-6,1341,wind,7.65,0.360659806786327,2.7590475219154014,1341 BINBANE,3581-89516-1,True
13476-3,1341,wind,11.9,0.360659806786327,4.291851700757291,1341 BINBANE,3581-89516-1,True
13479-9,1341,wind,3.4,0.360659806786327,1.2262433430735118,1341 BINBANE,3581-89516-1,True
17077-8,1341,wind,0.02,0.360659806786327,0.007213196135726539,1341 BINBANE,3581-89516-1,True
13478-1,1341,wind,3.0,0.360659806786327,1.081979420358981,1341 BINBANE,3581-89516-1,True
69197-1,17010,wind,17.5,0.28622461742189825,5.008930804883219,17010 CATH FALL,3581-89516-1,True
17078-1,17010,wind,37.5,0.28622461742189825,10.733423153321185,17010 CATH FALL,3581-89516-1,True
68101-1,4981,wind,6.0,0.12785387188353428,0.7671232313012057,4981 SLIGO,3581-89516-1,True
49871-1,4981,wind,4.08,0.12785387188353428,0.5216437972848199,4981 SLIGO,3581-89516-1,True
68087-1,4981,wind,7.65,0.12785387188353428,0.9780821199090373,4981 SLIGO,3581-89516-1,True
16371-1,1631,wind,3.4,0.11924464339043593,0.40543178752748216,1631 CORDERRY,3581-89516-1,True
16372-2,1631,wind,3.4,0.11924464339043593,0.40543178752748216,1631 CORDERRY,3581-89516-1,True
