,bus,status,offered_mwh,cut_equal_mwh,cut_priority_rule_mwh,extra_cut_mwh,station
51971-1,51911,non-priority,5541.115946128005,492.24677416679606,3721.7144143448622,3229.467640178066,51911 CROAGHONAGH
51972-1,51911,non-priority,2916.3768137515817,0.0,1720.8099570222437,1720.8099570222437,51911 CROAGHONAGH
68402-1,5191,non-priority,2989.061242009171,102.80045451392562,879.6548118534674,776.8543573395418,5191 TIEVEBRACK
68204-1,3581,non-priority,1826.0091501133531,302.59270457106095,1014.160395729687,711.5676911586261,3581 LETTERKENNY
68260-1,1571,non-priority,1485.2355699787918,97.47971625485116,698.4457293383343,600.9660130834832,1571 ARDNAGAPPARY
68269-1,1341,non-priority,1355.4684877393652,0.0,187.4200907876616,187.4200907876616,1341 BINBANE
43774-2,4371,non-priority,2211.0685505444017,60.86487447082254,181.83779453665488,120.97292006583234,4371 GLENREE
43771-1,4371,non-priority,1812.8819740920426,49.903850224978896,158.42438225880028,108.52053203382138,4371 GLENREE
68268-1,1341,non-priority,284.64838242526673,0.0,52.03320143000818,52.03320143000818,1341 BINBANE
68407-1,1341,non-priority,637.0701892375016,0.0,34.186370652255164,34.186370652255164,1341 BINBANE
68244-1,1341,non-priority,128.76950633523967,0.0,25.227859985848625,25.227859985848625,1341 BINBANE
68269-2,1341,non-priority,243.98432779308575,0.0,20.28239030609592,20.28239030609592,1341 BINBANE
16385-1,1631,non-priority,1274.5221730778799,801.856085412268,818.017075556475,16.16099014420695,1631 CORDERRY
13476-3,1341,non-priority,806.5037502049222,520.2213070772771,535.8767124425725,15.65540536529545,1341 BINBANE
13473-4,1341,non-priority,677.056509625813,436.723601487563,450.59874276428565,13.875141276722673,1341 BINBANE
69197-1,17010,non-priority,1297.6041955722371,0.0,13.761721786536327,13.761721786536327,17010 CATH FALL
16392-1,1631,non-priority,933.8700693255657,575.9609650707255,588.6004682384558,12.639503167730368,1631 CORDERRY
16382-1,1631,non-priority,797.0635608392245,504.00826303658664,515.0042127374344,10.995949700847746,1631 CORDERRY
13475-6,1341,non-priority,518.4666965603071,334.4279831211067,345.0530913059844,10.625108184877718,1341 BINBANE
16377-1,1631,non-priority,701.5718383914934,443.6258549955286,453.30444152928214,9.67858653375356,1631 CORDERRY
68223-1,1341,non-priority,33.88671219348413,0.0,8.35507051406173,8.35507051406173,1341 BINBANE
13474-1,1341,non-priority,406.64054632180955,262.29645734988765,270.62987553410545,8.333418184217805,1341 BINBANE
16374-4,1631,non-priority,596.3360626327694,377.0819767461993,385.3087752998898,8.226798553690514,1631 CORDERRY
16373-3,1631,non-priority,530.0765001180173,335.183979329955,342.4966891554576,7.312709825502623,1631 CORDERRY
15772-1,1571,non-priority,248.09057404990955,181.3333162465866,186.96021719816864,5.62690095158203,1571 ARDNAGAPPARY
16376-6,1631,non-priority,385.8645111153214,243.99422024754074,249.3174428411052,5.323222593564452,1631 CORDERRY
16375-1,1631,non-priority,308.69160889225714,195.19537619803262,199.45395427288415,4.258578074851528,1631 CORDERRY
15771-1,1571,non-priority,163.7397788729403,119.67998872274715,123.39374335079128,3.7137546280441285,1571 ARDNAGAPPARY
16372-2,1631,non-priority,265.03825005900865,167.5919896649775,171.2483445777288,3.6563549127513113,1631 CORDERRY
13472-DW,1341,non-priority,172.82223218676904,111.47599437370224,115.01769710199481,3.5417027282925773,1341 BINBANE
17078-1,17010,non-priority,2780.580419083365,1785.337845967889,1788.7732846650554,3.435438697166319,17010 CATH FALL
16371-1,1631,non-priority,265.03825005900865,168.3355255514465,171.2483445777288,2.912819026282307,1631 CORDERRY
13479-9,1341,non-priority,230.42964291569206,148.6346591649363,150.59259256110715,1.9579333961708585,1341 BINBANE
13478-1,1341,non-priority,203.32027316090478,131.14822867494382,132.8758169656828,1.7275882907389644,1341 BINBANE
16378-1,1631,non-priority,124.56797752773407,78.76823514253942,80.48672195153254,1.71848680899312,1631 CORDERRY
13477-2,1341,non-priority,172.82223218676904,111.47599437370224,112.94444442083037,1.4684500471281297,1341 BINBANE
17075-7,1341,non-priority,134.19138028619716,86.55783092546292,87.69803919735065,1.1402082718877296,1341 BINBANE
35873-3,3581,non-priority,310.4215555192701,246.16110540108127,247.230013956219,1.0689085551377389,3581 LETTERKENNY
13471-1,1341,non-priority,44.73046009539905,28.85261030848764,29.769286308751603,0.916676000263962,1341 BINBANE
35872-2,3581,non-priority,223.68612088888582,177.38079653901445,178.15103946845193,0.7702429294374724,3581 LETTERKENNY
