name,area,node,gen_type,system_operator,connection_status,processing,mec_mw,controllability,priority,battery_mwh
Athea (1)a,E,Athea,wind,TSO,connected,Gate 1,34.35,Y,wind priority,N/A
Ballycadden (1),H2,Crory,wind,DSO,connected,Gate 1,14.45,Y,wind priority,N/A
Beenanaspock and Tobertooreen Wind Farm,E,Athea,wind,TSO,connected,Gate 1,23.15,Y,wind not priority,N/A
Clahane (1),E,Clahane,wind,TSO,connected,Gate 1,37.8,Y,wind priority,N/A
Coomacheo (1),E,Garrow,wind,TSO,connected,Gate 1,41.225,Y,wind priority,N/A
Corkermore (1),A,Binbane,wind,DSO,connected,Gate 1,9.99,Y,wind priority,N/A
Cronelea (1),H2,Carlow,wind,DSO,connected,Gate 1,4.99,Y,wind priority,N/A
Dunmore (1),G,Drybridge,wind,DSO,connected,Gate 1,1.7,N,wind uncontrolled,N/A
Glanlee (1),E,Glanlee,wind,TSO,connected,Gate 1,29.8,Y,wind priority,N/A
Killin Hill (1),A,Binbane,wind,DSO,connected,Gate 1,6,Y,wind priority,N/A
Killybegs (1),A,Binbane,wind,DSO,connected,Gate 1,2.55,N,wind uncontrolled,N/A
Knockawarriga (1),E,Trien,wind,DSO,connected,Gate 1,22.5,Y,wind priority,N/A
Knocknalour (1),H2,Crory,wind,DSO,connected,Gate 1,5,Y,wind priority,N/A
Lackan (1),B,Moy,wind,DSO,connected,Gate 1,6,Y,wind priority,N/A
Loughderryduff (1),A,Binbane,wind,DSO,connected,Gate 1,7.65,Y,wind priority,N/A
Lurganboy (1),A,Letterkenny,wind,DSO,connected,Gate 1,4.99,N,wind uncontrolled,N/A
Meenachullalan (1),A,Binbane,wind,DSO,connected,Gate 1,11.9,Y,wind priority,N/A
Meentycat (2),A,Meentycat,wind,TSO,connected,Gate 1,14,Y,wind priority,N/A
Moneypoint WF,E,Moneypoint,wind,TSO,connected,Gate 1,17.25,Y,wind priority,N/A
Mount Eagle (2),E,Tralee,wind,DSO,connected,Gate 1,1.7,N,wind uncontrolled,N/A
