ResourceName,locl_instructions,name,station,kv
GU_501390,909,,,
GU_504030,887,,,
GU_501630,872,,,
GU_504040,865,,,
GU_503920,844,,,
GU_504240,841,,,
GU_504160,840,,,
GU_501250,837,,,
GU_501360,820,,,
GU_501190,789,,,
GU_501440,780,,,
GU_501160,761,,,
GU_501670,749,,,
GU_503860,727,,,
GU_504460,725,,,
GU_503780,721,,,
GU_503930,721,,,
GU_501550,721,,,
GU_501700,720,,,
GU_503940,719,,,
GU_503800,717,,,
GU_501730,713,,,
GU_501430,710,,,
GU_501740,709,,,
GU_504260,709,,,
GU_501520,708,,,
GU_501710,704,,,
GU_501750,699,,,
GU_501210,683,,,
GU_504200,682,,,
GU_501660,680,,,
GU_500740,679,,,
GU_503900,677,,,
GU_501720,676,,,
GU_503850,669,,,
GU_504090,668,,,
GU_500010,655,,,
GU_400021,631,Dunneil Windfarm (Kingsmountain Phase 2),CUNGHILL,110.0
GU_503840,606,,,
GU_503830,604,,,
GU_500720,600,,,
GU_403990,599,Black Lough WFPS,GLENREE,110.0
GU_503820,595,,,
GU_403750,589,Killala Windfarm,TAWNAGHMORE,110.0
GU_503790,581,,,
GU_406560,569,Sheskin Windfarm,BELLACORICK,110.0
GU_405130,564,Oweninney Windfarm 2,SRAHNAKILLY,110.0
GU_401500,557,Leitir Guingaid Windfarm phase 1,SALTHILL,110.0
GU_403760,555,Oweninney Windfarm 1,SRAHNAKILLY,110.0
GU_401990,554,Seecon Windfarm,UGGOOL,110.0
GU_403380,552,Knockalough WFPS,KNOCKALOUGH,110.0
GU_403880,534,Bunnyconnellan Windfarm,GLENREE,110.0
GU_405210,520,Ardderroo (Rockgrid) Windfarm,KNOCKRANNY,110.0
GU_401960,517,Uggool Windfarm,UGGOOL,110.0
GU_401280,499,Carrowleagh Windfarm,GLENREE,110.0
GU_407670,491,,,
GU_501500,478,,,
GU_407510,477,Yellow River Windfarm,DERRYIRON,110.0
GU_408120,473,,,
GU_405100,465,Hortland Solar,KINNEGAD,110.0
GU_403400,464,Magheramore Windfarm,DALTON_A1,110.0
GU_400950,454,Garvagh Glebe Generator Unit,GARVAGH,110.0
GU_402160,451,Tullynamoyle 2 Windfarm,CORDERRY,110.0
GU_402200,443,Tullynamoyle Windfarm 3,CORDERRY,110.0
GU_406620,431,Derrinlough Windfarm,STONESTOWN,110.0
GU_405830,421,,,
GU_406590,416,Timahoe North Solar,TIMAHOE,110.0
GU_503400,406,,,
GU_401740,394,Garracummer Windfarm Ltd,CAUTEEN,110.0
GU_402340,394,Cappawhite B Windfarm,CAUTEEN,110.0
GU_404470,376,Glencarbry Windfarm,CAUTEEN,110.0
GU_401920,372,Meenadreen South 2 Windfarm,MULREAVY,110.0
GU_400550,371,Sorne Hill Generator Unit,TRILLICK,110.0
GU_404630,370,Cloghervaddy 2 Windfarm,BINBANE,110.0
GU_400070,369,Meentycat Generator Unit,MEENTYCAT,110.0
GU_405870,367,Airoshin Windfarm,BINBANE,110.0
GU_408060,364,,,
GU_405140,364,Cloncreen Windfarm,KILCUMBER,110.0
GU_407330,363,,,
GU_401090,363,Grouselodge Windfarm (Gen Unit),RATHKEALE,110.0
GU_401690,363,,,
GU_402080,363,Moneypoint Windfarm,MONEYPOINT,110.0
GU_401730,362,Booltiagh 2 Windfarm,BOOLTIAGH,110.0
GU_403940,358,Knockalassa Windfarm,SLIEVECALLAN,110.0
GU_401720,358,Booltiagh Windfarm,BOOLTIAGH,110.0
GU_401080,357,Rathcahill West Windfarm,RATHKEALE,110.0
GU_405930,355,Lenalea Windfarm,LENALEA,110.0
GU_402050,354,Tullabrack Windfarm,TULLABRACK,110.0
GU_404480,350,Sorrell Island 2 Windfarm,BOOLTIAGH,110.0
GU_400940,340,Tullynahaw Generator Unit,GARVAGH,110.0
GU_401900,338,,,
GU_403770,333,Boolynagleragh Windfarm,SLIEVECALLAN,110.0
GU_401820,327,Acres Windfarm,CATH_FALL,110.0
GU_401930,318,Mulreavy Windfarm,MULREAVY,110.0
GU_402150,313,Cappawhite Windfarm,CAUTEEN,110.0
GU_402270,305,Boolinrudda Windfarm,SLIEVECALLAN,110.0
GU_406600,276,,,
GU_401790,275,Ballybane Windfarm Phase 2,BALLYLICKEY,110.0
GU_400060,274,Midas Generator Unit,GLANLEE,110.0
GU_401840,274,Boggeragh 2 Windfarm,BOGGERAGH,110.0
GU_400730,274,SWS Green Energy Gen Unit (Sillahertane),COOMAGEARLAH,110.0
GU_401070,274,Carraigcannon Windfarm (Gen Unit),BOGGERAGH,110.0
GU_400731,274,SWS Kilgarvan Ext Inchincoosh,COOMAGEARLAH,110.0
GU_401950,274,Kilaveenoge 1 WF,DUNMANWAY,110.0
GU_401150,274,Bawnmore Windfarm,MACROOM,110.0
GU_400591,272,Coomacheo Windfarm,GARROW,110.0
GU_401700,269,Bruckana Windfarm Limited,LISHEEN,110.0
GU_404210,269,Coomagearlahy Generator Unit,COOMAGEARLAH,110.0
GU_404580,268,,,
GU_405080,266,Knockglass Solar,MACROOM,110.0
GU_400910,266,Boggeragh Windfarm Generator Unit,BOGGERAGH,110.0
GU_401780,266,,,
GU_401750,266,Lisheen Windfarm 2 Ltd,LISHEEN,110.0
GU_401670,264,Cnoc Windfarms,THURLES,110.0
GU_404420,262,Lisheen 3 Windfarm,LISHEEN,110.0
GU_403810,260,Cleanrath Windfarm,COOMATAGGART,110.0
GU_401540,258,Monaincha Windfarm,IKERRIN,110.0
GU_403790,256,Grousemount Windfarm,COOMATAGGART,110.0
GU_401290,235,Ballycadden Windfarm,LODGEWOOD,110.0
GU_405150,233,Rosspile Solar,ROSSPILE,110.0
GU_404460,233,Ballycumber Windfarm,ARKLOW,110.0
GU_400920,231,Dromada Windfarm,DROMADA,110.0
GU_404570,231,,,
GU_404500,231,Glanaruddery 2 Windfarm,CLOGHBOOLA,110.0
GU_404490,231,Glanaruddery 1 Windfarm,CLOGHBOOLA,110.0
GU_401380,231,Athea Windfarm,ATHEA,110.0
GU_400660,231,Pallas Generator Unit,CLAHANE,110.0
GU_401980,231,Clahane 2 Windfarm,CLAHANE,110.0
GU_402210,230,Leanamore Windfarm,KILPADDOGE,110.0
GU_404000,230,Beenanaspuck and Tobertoreen Windfarm,ATHEA,110.0
GU_401760,229,Ballymartin Windfarm Phase 2,WATERFORD,110.0
GU_401710,229,Ballymartin Windfarm Phase 1,WATERFORD,110.0
GU_401360,228,Ballycadden Windfarm Phase 2,LODGEWOOD,110.0
GU_404340,228,Esk Windfarm,BOGGERAGH,110.0
GU_401340,226,Gibbet Hill Windfarm,LODGEWOOD,110.0
GU_402300,225,Kelwin 1 Windfarm,KILPADDOGE,110.0
GU_403930,224,Knocknatallig Windfarm,CHARLEVILLE,110.0
GU_403980,224,Mauricetown Windfarm,GLENLARA,110.0
GU_403390,220,Castledockrell Windfarm (Gen Unit),LODGEWOOD,110.0
GU_406470,219,Tullabeg Solar,TULLABEG,110.0
GU_401940,219,Raheenleagh,ARKLOW,110.0
GU_402190,217,Castlepook Windfarm,CHARLEVILLE,110.0
GU_401810,208,Barranafaddock Windfarm,BARRYMORE,110.0
GU_401240,203,Dromdeeveen Windfarm,GLENLARA,110.0
GU_404990,197,Taurbeg Windfarm,GLENLARA,110.0
GU_401350,197,Knocknagoum Windfarm Limited,REAMORE,110.0
GU_407710,197,Ballincollig Hill Generator Unit,TRALEE,110.0
GU_400960,195,Muingnaminnane Generator Unit,TRALEE,110.0
GU_403840,191,Cronalaght 2 Windfarm,TIEVEBRACK,110.0
GU_402280,191,Cloghanaleskirt Windfarm,CLOGHBOOLA,110.0
GU_401770,186,Knockacummer Windfarm,KNOCKACUMMER,110.0
GU_400840,177,Lisheen Windfarm Phase 1,LISHEEN,110.0
GU_403800,157,Sorrell Island 1 Windfarm,BOOLTIAGH,110.0
GU_405160,156,Cloghan Windfarm,DERRYCARNEY,110.0
GU_404330,154,Carrigdangan Windfarm,CARRIGDANGAN,110.0
GU_404200,149,Knockawarriga 1 Windfarm,TRIEN,110.0
GU_400600,145,Tournafulla Generatot Unit,TRIEN,110.0
GU_400080,129,Richfield Generator Unit,WEXFORD,110.0
GU_408140,108,,,
GU_405890,88,Ballywater Generator Unit,CRANE,110.0
GU_501040,84,,,
GU_402260,81,Scartaglen 2 Windfarm,CORDAL,110.0
GU_402110,79,Cordal 1 Windfarm,CORDAL,110.0
GU_402250,79,Scartaglen 1 Windfarm,CORDAL,110.0
GU_402130,78,Cordal 2 Windfarm,CORDAL,110.0
GU_500020,78,,,
GU_404560,54,Beam Hill Windfarm,TRILLICK,110.0
GU_401250,54,Glenough Windfarm,CAUTEEN,110.0
GU_405190,48,Gillinstown Solar,Garballagh,110.0
GU_407340,44,,,
GU_401680,44,Woodhouse Windfarm,WOODHOUSE,110.0
GU_401060,44,Gortahile Windfarm Ltd Generator Unit,CARLOW,110.0
GU_405840,44,,,
GU_407040,44,Rathnaskilloge Solar Farm,RATHNASKILLOGE,110.0
GU_501680,41,,,
GU_501050,33,,,
GU_501620,32,,,
GU_501150,30,,,
GU_503810,27,,,
GU_408130,22,,,
GU_407990,21,,,
GU_406610,18,Drumlins Windfarm,LISLEA,111.0
GU_400050,17,Bindoo Generator Unit,RATRUSSAN,110.0
GU_402220,16,Carrickallen Windfarm,SHANKILL,110.0
GU_400620,15,Mountain Lodge Windfarm,RATRUSSAN,110.0
GU_406520,10,,,
GU_406580,2,Lysaghtstown Solar,KNOCKRAHA,110.0
GU_407030,1,Gaskinstown Solar,DEENES,110.0
GU_408180,1,,,
GU_403970,1,,,
GU_401890,1,Grove Hill Windfarm,DUNDALK,110.0
