rule,generator,bus,station,class,cum_cut_MWh,cum_avail_MWh,r,hours_cut
rule1,13471-1,1341,Binbane,P,113.64667217271841,1806.8237946000002,0.06289859172342693,911
rule1,13473-4,1341,Binbane,P,1735.2305058731831,27348.741981900002,0.06344827513534615,920
rule1,13474-1,1341,Binbane,P,1051.6862274627586,16425.67086,0.06402698778190169,926
rule1,13475-6,1341,Binbane,P,1347.5656102516068,20942.7303465,0.06434526864243445,930
rule1,13476-3,1341,Binbane,P,2119.083143696842,32577.580539,0.0650472843175078,940
rule1,13479-9,1341,Binbane,P,606.8273546586813,9307.880154,0.06519501160507543,942
rule1,15771-1,1571,Ardnagappary,P,401.56954438112115,5314.771836,0.0755572500142076,1107
rule1,15772-1,1571,Ardnagappary,P,609.6326901583532,8052.6846,0.07570552187755537,1108
rule1,16373-3,1631,Corderry,P,1403.445403846874,18388.098960000003,0.07632357248565046,1115
rule1,16374-4,1631,Corderry,P,1585.3751335673915,20686.611330000003,0.07663773966054357,1121
rule1,16377-1,1631,Corderry,P,1878.346021287745,24337.1898,0.07718007036653612,1128
rule1,16379-2,1631,Corderry,P,60.66846997844836,784.1983379999999,0.07736368089375925,1130
rule1,16382-1,1631,Corderry,P,2148.978871146886,27649.751745,0.07772145265410903,1137
rule1,16392-1,1631,Corderry,P,2538.835216672256,32395.503756000002,0.0783699872610265,1147
rule1,17075-7,1341,Binbane,P,453.4628825832161,5420.4713838,0.08365746269567385,1230
rule1,17077-8,1341,Binbane,P,4.582355844789041,54.7522362,0.08369257883916423,1230
rule1,19371-1,1931,Cunghill,P,5300.1141976111785,64007.963800000005,0.08280398067609171,1255
rule1,19372-2,1931,Cunghill,P,2472.076702798724,29780.547368,0.0830097805876811,1259
rule1,26732-1,2671,Garvagh,N,7985.683898525783,91940.4948,0.08685709072914172,1308
rule1,26771-1,2671,Garvagh,P,6106.6994518138345,70307.4372,0.08685709072914173,1308
rule1,26773-1,2671,Garvagh,P,5167.20722845786,59490.9084,0.08685709072914173,1308
rule1,35971-1,3591,Lenalea,P,7215.679720631647,83960.75898500001,0.0859410968631282,1308
rule1,40471-1,4041,Moy,P,1373.5838757317592,17036.26302,0.08062706440486497,1308
rule1,40771-1,4071,Meentycat,P,12641.612235581431,146494.080412,0.08629435537619101,1308
rule1,40772-2,4071,Meentycat,P,4315.832078914947,50012.9128968,0.08629435537619103,1308
rule1,40773-3,4071,Meentycat,P,3345.6062627247647,38769.69992,0.08629435537619103,1308
rule1,40971-1,4091,Mulreavy,P,19634.04083364366,216648.82652,0.09062611207742284,1308
rule1,40972-2,4091,Mulreavy,P,1017.6179700364091,11228.750155,0.09062611207742284,1308
rule1,40973-1,4091,Mulreavy,P,861.9822805014289,9511.411896,0.09062611207742285,1308
rule1,43771-1,4371,Glenree,N,6575.856172374881,80449.41716000001,0.08173901570096695,1308
rule1,43774-2,4371,Glenree,P,8020.196010235792,98119.5570005,0.08173901570096695,1308
rule1,49971-1,4991,Sorne Hill,P,7124.0497279734145,88920.51966,0.08011705009387272,1308
rule1,49973-2,4991,Sorne Hill,P,1673.586285301691,20889.264936,0.08011705009387272,1308
rule1,49976-3,4991,Sorne Hill,P,2080.674841185886,25970.437487999996,0.08011705009387274,1308
rule1,49977-1,4991,Sorne Hill,P,135.6961852947317,1693.7241839999997,0.08011705009387274,1308
rule1,49979-3,4991,Sorne Hill,P,67.84809264736585,846.8620919999998,0.08011705009387274,1308
rule1,53673-3,5361,Trillick,P,3166.2443235437395,39520.23096,0.08011705009387271,1308
rule1,53674-4,5361,Trillick,P,2259.3414851572825,28200.5076636,0.08011705009387271,1308
rule1,67059-1,5241,Tawnaghmore,P,4403.8933415721285,52882.883327999996,0.08327634698466585,1308
rule1,67059-2,5241,Tawnaghmore,P,2477.190004634322,29746.621872000003,0.08327634698466584,1308
rule1,68087-1,4981,Sligo,P,1790.5872649403636,20487.4008165,0.08739943543732853,1308
rule1,68101-1,4981,Sligo,P,1404.3821685806774,16068.549659999999,0.08739943543732855,1308
rule1,68223-1,1341,Binbane,P,119.76545958736185,1368.805905,0.08749630546586651,1308
rule1,68254-1,4371,Glenree,N,622.3578163140512,7613.9626955,0.08173901570096695,1308
rule1,68260-1,1571,Ardnagappary,N,4162.981082495906,48208.738472,0.08635324661967243,1308
rule1,68269-1,1341,Binbane,P,4790.618383494473,54752.2362,0.0874963054658665,1308
rule1,68269-2,1341,Binbane,N,862.3113090290052,9855.402516,0.0874963054658665,1308
rule1,68284-1,5361,Trillick,P,1560.5061308894146,19477.828116000004,0.08011705009387271,1308
rule1,68308-1,4091,Mulreavy,P,1292.9734207521433,14267.117844,0.09062611207742284,1308
rule1,68312-1,4371,Glenree,N,2935.6500769530717,35914.918374999994,0.08173901570096698,1308
rule1,69197-1,17010,Cathaleen's Fall,P,4157.4683999900835,47951.9999,0.08670062580622594,1308
rule2,13471-1,1341,Binbane,P,0.0,1806.8237946000002,0.0,0
rule2,13473-4,1341,Binbane,P,0.0,27348.741981900002,0.0,0
rule2,13474-1,1341,Binbane,P,0.0,16425.67086,0.0,0
rule2,13475-6,1341,Binbane,P,0.0,20942.7303465,0.0,0
rule2,13476-3,1341,Binbane,P,0.0,32577.580539,0.0,0
rule2,13479-9,1341,Binbane,P,0.0,9307.880154,0.0,0
rule2,15771-1,1571,Ardnagappary,P,0.0,5314.771836,0.0,0
rule2,15772-1,1571,Ardnagappary,P,0.0,8052.6846,0.0,0
rule2,16373-3,1631,Corderry,P,0.0,18388.098960000003,0.0,0
rule2,16374-4,1631,Corderry,P,0.0,20686.611330000003,0.0,0
rule2,16377-1,1631,Corderry,P,0.0,24337.1898,0.0,0
rule2,16379-2,1631,Corderry,P,0.0,784.1983379999999,0.0,0
rule2,16382-1,1631,Corderry,P,0.0,27649.751745,0.0,0
rule2,16392-1,1631,Corderry,P,0.0,32395.503756000002,0.0,0
rule2,17075-7,1341,Binbane,P,0.0,5420.4713838,0.0,0
rule2,17077-8,1341,Binbane,P,0.0,54.7522362,0.0,0
rule2,19371-1,1931,Cunghill,P,21309.166542635823,64007.963800000005,0.33291430124568067,1185
rule2,19372-2,1931,Cunghill,P,9960.893049654587,29780.547368,0.33447649321442074,1189
rule2,26732-1,2671,Garvagh,N,0.0,91940.4948,0.0,0
rule2,26771-1,2671,Garvagh,P,0.0,70307.4372,0.0,0
