generator,bus,psse_name,carrier,p_nom,donor,donor_bus,method,distance_km
87991-BR,87900,RASHARK1,solar,29.81,71093-BR,71011,nearest_km,19.135459474948554
87995-FR,87900,RASHARK1,solar,5.209,71093-BR,71011,nearest_km,19.135459474948554
15271-1,1521,BOGTOWN,wind,56.4,67066-1,2401,nearest_km,0.0
22371-1,2231,DERRYBRIEN,wind,59.5,42672-2,4261,nearest_km,31.492066094728692
22871-1,22811,DALTON_A2,wind,2.55,18271-DW,1821,nearest_km,18.21008033542595
22872-1,2281,DALTON_A1,wind,40.8,16670-1,1661,nearest_km,0.0
34872-1,3481,COOLNANOONAG,wind,37.0,68165-1,3461,nearest_km,0.0
34971-1,3491,LISLEA,wind,48.9,47871-1,4781,nearest_km,13.391485120975668
35071-1,3501,LANESBORO_A1,wind,4.6,66095-1,66094,nearest_km,29.182375239437157
35171-1,3511,LICKNY,wind,88.0,67066-1,2401,nearest_km,31.701602307604684
35171-2,3511,LICKNY,wind,9.5,67066-1,2401,nearest_km,31.701602307604684
51971-1,51911,CROAGHONAGH,wind,91.2,40971-1,4091,nearest_km,3.009798596686064
51972-1,51911,CROAGHONAGH,wind,48.0,40971-1,4091,nearest_km,3.009798596686064
67025-1,14013,SRAHNAKILLY,wind,89.0,14073-3,1401,nearest_km,0.0
67026-2,14013,SRAHNAKILLY,wind,83.0,14073-3,1401,nearest_km,0.0
67071-5,14016,CROAGHAUN,wind,50.0,14073-3,1401,nearest_km,0.0
68095-1,68090,KNOCKNAMONA,wind,34.0,69335-1,6931,nearest_km,0.0
68285-1,4481,PORTLAOISE,wind,9.2,67066-1,2401,nearest_km,10.729985819829448
81832-CA,81810,KILL1-CL,wind,20.7,84491-CU,84412,nearest_km,4.281081841327075
85591-CH,85510,MAKL1-CL,wind,18.4,87591-T1,87510,nearest_km,0.0
85592-CR,85510,MAKL1-CL,wind,32.2,87591-T1,87510,nearest_km,0.0
85593-TH,85510,MAKL1-CL,wind,20.0,87591-T1,87510,nearest_km,0.0
87992-AV,87900,RASHARK1,wind,18.0,73501-BR,73500,nearest_km,13.355274192231684
87993-G1,87900,RASHARK1,wind,9.2,73501-BR,73500,nearest_km,13.355274192231684
87994-LM,87900,RASHARK1,wind,27.6,73501-BR,73500,nearest_km,13.355274192231684
89202-S2,89210,SKRK1-,wind,27.6,84491-CU,84412,nearest_km,4.281081841327075
90231-CC,90210,TREM,wind,13.8,80700-SS,80710,nearest_km,10.99646028989068
90232-CD,90210,TREM,wind,12.5,80700-SS,80710,nearest_km,10.99646028989068
90233-GO,90210,TREM,wind,15.0,80700-SS,80710,nearest_km,10.99646028989068
90234-IN,90210,TREM,wind,13.8,80700-SS,80710,nearest_km,10.99646028989068
90235-EM,90210,TREM,wind,7.05,80700-SS,80710,nearest_km,10.99646028989068
90237-CR,90210,TREM,wind,15.0,80700-SS,80710,nearest_km,10.99646028989068
