hour,success,status,nit,cut_MW,max_residual
2030-01-01 00:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,33.07076008508814,0.0
2030-01-01 01:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,59.617322192994266,3.552713678800501e-15
2030-01-01 02:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,188.43289774664584,0.0
2030-01-01 03:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,65.44118882893898,3.552713678800501e-15
2030-01-01 04:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,98.37981171798079,7.105427357601002e-15
2030-01-01 05:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,163.85288308770018,0.0
2030-01-01 06:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,151.42627220838523,0.0
2030-01-01 07:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,124.80476460147523,0.0
2030-01-01 08:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,117.93674515468066,7.105427357601002e-15
2030-01-01 09:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,163.30385943409405,0.0
2030-01-01 10:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,153.58906124455473,0.0
2030-01-01 11:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,66.48581078044153,0.0
2030-01-01 12:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,11.148025989520875,0.0
2030-01-01 15:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,15.334195568330461,0.0
2030-01-01 16:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,21.876423301904197,0.0
2030-01-01 21:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,32.7870899100467,1.7763568394002505e-15
2030-01-02 17:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,15.631794367044355,0.0
2030-01-02 18:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,100.31454711769251,0.0
2030-01-02 19:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,127.65495304589159,0.0
2030-01-02 20:00:00,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),1,90.40740647303294,0.0
