chunk,start,end,n,status,condition,objective
0,2030-01-01 00:00:00,2030-01-14 22:00:00,168,ok,optimal,20946028.71787851
1,2030-01-15 00:00:00,2030-01-28 22:00:00,168,ok,optimal,36239843.282521464
2,2030-01-29 00:00:00,2030-02-11 22:00:00,168,ok,optimal,35829228.562650606
3,2030-02-12 00:00:00,2030-02-25 22:00:00,168,ok,optimal,22228275.518348277
4,2030-02-26 00:00:00,2030-03-11 22:00:00,168,ok,optimal,37507338.11872056
5,2030-03-12 00:00:00,2030-03-25 22:00:00,168,ok,optimal,34314271.99838446
6,2030-03-26 00:00:00,2030-04-08 22:00:00,168,ok,optimal,31833570.339060426
7,2030-04-09 00:00:00,2030-04-22 22:00:00,168,ok,optimal,23285455.53242446
8,2030-04-23 00:00:00,2030-05-06 22:00:00,168,ok,optimal,32081166.74652588
9,2030-05-07 00:00:00,2030-05-20 22:00:00,168,ok,optimal,34974711.12813439
10,2030-05-21 00:00:00,2030-06-03 22:00:00,168,ok,optimal,21903124.731658727
11,2030-06-04 00:00:00,2030-06-17 22:00:00,168,ok,optimal,36034794.33179608
12,2030-06-18 00:00:00,2030-07-01 22:00:00,168,ok,optimal,32635795.317109108
13,2030-07-02 00:00:00,2030-07-15 22:00:00,168,ok,optimal,25009034.10283698
14,2030-07-16 00:00:00,2030-07-29 22:00:00,168,ok,optimal,33795433.97347811
15,2030-07-30 00:00:00,2030-08-12 22:00:00,168,ok,optimal,41806687.81022671
16,2030-08-13 00:00:00,2030-08-26 22:00:00,168,ok,optimal,31959565.545168184
17,2030-08-27 00:00:00,2030-09-09 22:00:00,168,ok,optimal,34964103.99327713
18,2030-09-10 00:00:00,2030-09-23 22:00:00,168,ok,optimal,35953562.977965325
19,2030-09-24 00:00:00,2030-10-07 22:00:00,168,ok,optimal,36602556.05059898
20,2030-10-08 00:00:00,2030-10-21 22:00:00,168,ok,optimal,32393509.378819786
21,2030-10-22 00:00:00,2030-11-04 22:00:00,168,ok,optimal,25449008.93309061
22,2030-11-05 00:00:00,2030-11-18 22:00:00,168,ok,optimal,19836048.581620693
23,2030-11-19 00:00:00,2030-12-02 22:00:00,168,ok,optimal,27718544.838634863
24,2030-12-03 00:00:00,2030-12-16 22:00:00,168,ok,optimal,23124171.728524588
25,2030-12-17 00:00:00,2030-12-30 22:00:00,168,ok,optimal,39112756.99615464
26,2030-12-31 00:00:00,2030-12-31 22:00:00,12,ok,optimal,4247736.362801732
