generator,bus,station,carrier,p_nom,psse_bus_name,class,matched_name,matched_mec,match_status
13471-1,1341,Binbane,wind,0.66,W_BURTONPORT,P,,,unmatched
13472-DW,1341,Binbane,wind,2.55,W_SHANAGH_KI,U,Shannagh (1) previously Kilcar,2.55,matched_multi
13473-4,1341,Binbane,wind,9.99,W_CORKERMO,P,Corkermore (1),9.99,matched
13474-1,1341,Binbane,wind,6.0,W_KILLIN_HIL,P,Killin Hill (1),6.0,matched
13475-6,1341,Binbane,wind,7.65,W_LOUGHDER,P,Loughderryduff (1),7.65,matched
13476-3,1341,Binbane,wind,11.9,W_MEENACHU,P,Meenachullalan (1),11.9,matched
13477-2,1341,Binbane,wind,2.55,W_KILLYBEG,U,Killybegs (1),2.55,matched_multi
13478-1,1341,Binbane,wind,3.0,W_KILCAR,P,,,unmatched
13479-9,1341,Binbane,wind,3.4,W_MEENADREEN,P,,,unmatched
15771-1,1571,Ardnagappary,wind,1.98,W_CRONALAGHT,P,,,unmatched
15772-1,1571,Ardnagappary,wind,3.0,W_CRONALAGHT,P,,,unmatched
16371-1,1631,Corderry,wind,3.4,W_CARANNE_HI,U,Carrane Hill (1),3.4,matched_multi
16372-2,1631,Corderry,wind,3.4,W_BLACK_BANK,U,Black Banks (1),3.4,matched_multi
16373-3,1631,Corderry,wind,6.8,W_BLACK_BANK,P,Black Banks (2),6.8,matched
16374-4,1631,Corderry,wind,7.65,W_ALTAGOWLAN,P,Altagowlan (1),7.65,matched
16375-1,1631,Corderry,wind,3.96,W_MONEENATIE,U,Moneenatieve (1),3.96,matched
16376-6,1631,Corderry,wind,4.95,W_GEEVAGH,U,Geevagh (1),4.95,matched
16377-1,1631,Corderry,wind,9.0,W_TULLYNAMOY,P,Tullynamoyle (1),9.0,matched
16378-1,1631,Corderry,wind,1.598,W_CARANNE_HI,U,Tullynamoyle 3 (Carrane Hill merged capacity),1.598,matched
16379-2,1631,Corderry,wind,0.29,W_MONEENATIE,P,,,unmatched
16382-1,1631,Corderry,wind,10.225,W_TULLYNAMOY,P,Tullynamoyle 2 Wind Farm,10.225,matched
16385-1,1631,Corderry,wind,16.35,W_TULLYNAMOY,N,Tullynamoyle Wind Farm 5,16.35,matched
16392-1,1631,Corderry,wind,11.98,W_TULLYNAMOY,P,Tullynamoyle Wind Farm 3 (Formerly Geevagh 2),11.98,matched
17075-7,1341,Binbane,wind,1.98,W_ANARGET,P,,,unmatched
17077-8,1341,Binbane,wind,0.02,W_ANARGET,P,,,unmatched
17078-1,17010,Cathaleen's Fall,wind,37.5,W_DERRYKILLE,N,Derrykillew Wind Farm,37.5,matched
19371-1,1931,Cunghill,wind,23.75,W_KINGSMOUNT,P,Kingsmountain (1),23.75,matched
19372-2,1931,Cunghill,wind,11.05,W_KINGSMOUNT,P,Kingsmountain (2),11.05,matched
26732-1,2671,Garvagh,wind,34.0,W_DERRYSALLA,N,Derrysallagh Wind Farm (Formerly Kilronan 2),34.0,matched
