station,rule,cut_MWh,avail_MWh,n_farms,r_s
Ardnagappary,rule1,6240.1970248369635,62580.924698400006,3,0.09971404313551963
Binbane,rule1,20231.934572743856,232467.07272,15,0.08703139905371737
Cathaleen's Fall,rule1,13498.580423245377,159233.1576,2,0.0847724219421331
Corderry,rule1,12048.56641082716,166738.26998430002,7,0.07226035397849363
Cunghill,rule1,7530.6970394986,93919.32576,2,0.08018261394616936
Garvagh,rule1,20405.497436464437,219480.50628,3,0.09297179864544478
Glenree,rule1,19626.862868436398,211565.36305600003,4,0.09276973595739908
Lenalea,rule1,9014.681727847093,85450.34757,1,0.10549613880110159
Meentycat,rule1,25009.12961193773,235244.0346048,3,0.10631142954996503
Moy,rule1,1505.7264115524988,16647.58668,1,0.09044712849349157
Mulreavy,rule1,28495.916762956545,267677.476455,4,0.1064561618719051
Sligo,rule1,4704.654841307356,49027.7481066,3,0.09595902367528944
Sorne Hill,rule1,13418.537395061783,134982.14926,5,0.09940971801549296
Tawnaghmore,rule1,4969.647706616118,52816.255871999994,1,0.09409314659979005
Trillick,rule1,8459.155512927724,85093.84878860001,3,0.09940971801549296
Ardnagappary,rule2,820.1712912123542,62580.924698400006,3,0.013105771369871167
Binbane,rule2,1293.7829358413123,232467.07272,15,0.005565445982105333
Cathaleen's Fall,rule2,36294.7237267781,159233.1576,2,0.22793445959259243
Corderry,rule2,2038.7144071874627,166738.26998430002,7,0.01222703346615883
Cunghill,rule2,21413.80651440059,93919.32576,2,0.2280021320544943
Garvagh,rule2,2327.615468132609,219480.50628,3,0.010605112534063401
Glenree,rule2,197.1499920181525,211565.36305600003,4,0.0009318632746418332
Lenalea,rule2,1589.9432353867974,85450.34757,1,0.018606632747565282
Meentycat,rule2,25212.478925925952,235244.0346048,3,0.1071758481284418
Moy,rule2,0.0,16647.58668,1,0.0
Mulreavy,rule2,56234.74217599741,267677.476455,4,0.2100839522276772
Sligo,rule2,17352.831752544847,49027.7481066,3,0.3539389921563387
Sorne Hill,rule2,3949.8677331523763,134982.14926,5,0.029262148771569917
Tawnaghmore,rule2,0.0,52816.255871999994,1,0.0
Trillick,rule2,5405.242216389366,85093.84878860001,3,0.0635209512008053
Ardnagappary,rule3,820.1712912123542,62580.924698400006,3,0.013105771369871167
Binbane,rule3,1168.9669281275135,232467.07272,15,0.005028526898239481
Cathaleen's Fall,rule3,36065.13505614606,159233.1576,2,0.22649262000282067
Corderry,rule3,829.1052362416369,166738.26998430002,7,0.004972495134558521
Cunghill,rule3,21179.806324931542,93919.32576,2,0.22551063003853
Garvagh,rule3,5903.64000247466,219480.50628,3,0.026898243049171537
Glenree,rule3,573.6708948464318,211565.36305600003,4,0.002711553945125624
Lenalea,rule3,1572.1618870197299,85450.34757,1,0.01839854291677201
Meentycat,rule3,24965.87703210522,235244.0346048,3,0.10612756694998382
Moy,rule3,0.0,16647.58668,1,0.0
Mulreavy,rule3,53947.526458424116,267677.476455,4,0.2015392821722652
Sligo,rule3,17231.948935422803,49027.7481066,3,0.35147339212797907
Sorne Hill,rule3,3949.8677331523772,134982.14926,5,0.029262148771569924
Tawnaghmore,rule3,0.0,52816.255871999994,1,0.0
Trillick,rule3,5367.798310842815,85093.84878860001,3,0.06308092050434952
Ardnagappary,rule1N,16561.096290043835,62580.924698400006,3,0.264634892658709
Binbane,rule1N,18541.101544444573,232467.07272,15,0.0797579688491058
Cathaleen's Fall,rule1N,25126.474456786353,159233.1576,2,0.15779674808625632
Corderry,rule1N,13476.788283013213,166738.26998430002,7,0.08082600523732301
Cunghill,rule1N,4224.398773780069,93919.32576,2,0.044979015123841844
Garvagh,rule1N,31402.07899846122,219480.50628,3,0.14307456972238045
Glenree,rule1N,38711.043543235035,211565.36305600003,4,0.18297439138460705
Lenalea,rule1N,4664.024273614967,85450.34757,1,0.05458168873794514
Meentycat,rule1N,12996.562881932072,235244.0346048,3,0.055247151766316824
Moy,rule1N,757.1739702376744,16647.58668,1,0.04548250655137447
Mulreavy,rule1N,14714.290839114885,267677.476455,4,0.05497022399487745
Sligo,rule1N,5233.178383102275,49027.7481066,3,0.1067391137713257
Sorne Hill,rule1N,6997.112587771287,134982.14926,5,0.05183731794263835
Tawnaghmore,rule1N,2525.9777188267626,52816.255871999994,1,0.047825762677090565
Trillick,rule1N,4411.036894617449,85093.84878860001,3,0.05183731794263834
Ardnagappary,band0,5908.263696985617,62580.924698400006,3,0.09440997756839908
Binbane,band0,21900.764031979317,232467.07272,15,0.09421017684667182
Cathaleen's Fall,band0,14956.57056661863,159233.1576,2,0.09392874444021343
Corderry,band0,15745.787590707721,166738.26998430002,7,0.09443415475157764
Cunghill,band0,8889.84559394072,93919.32576,2,0.09465406104658049
Garvagh,band0,20777.235682184444,219480.50628,3,0.09466551738165803
Glenree,band0,19874.407719619358,211565.36305600003,4,0.09393979918328467
Lenalea,band0,8081.796915548424,85450.34757,1,0.09457886533378819
Meentycat,band0,22214.161830429162,235244.0346048,3,0.09443028754267037
Moy,band0,1540.6597691026723,16647.58668,1,0.09254553219738347
Mulreavy,band0,25285.277485014678,267677.476455,4,0.09446172991422928
Sligo,band0,4632.654393867161,49027.7481066,3,0.0944904584194746
Sorne Hill,band0,12735.226921907522,134982.14926,5,0.09434748958825048
Tawnaghmore,band0,4877.553676130983,52816.255871999994,1,0.0923494783112176
Trillick,band0,8028.537644429358,85093.84878860001,3,0.09434921276595187
Ardnagappary,band1,6342.854573387251,62580.924698400006,3,0.10135443993446484
Binbane,band1,23463.097436003096,232467.07272,15,0.10093084221120525
Cathaleen's Fall,band1,16066.415723025653,159233.1576,2,0.10089868194025974
Corderry,band1,16296.022700283767,166738.26998430002,7,0.09773414766638872
Cunghill,band1,9534.341740908949,93919.32576,2,0.10151629245372627
Garvagh,band1,19927.051659120276,219480.50628,3,0.09079189763531229
