branch,kind,bus0,bus1,name0,name1,rating
1341-1701-1,Line,1341,1701,BINBANE,CATH_FALL,210.0
1341-5191-1,Line,1341,5191,BINBANE,TIEVEBRACK,159.0
1571-5191-1,Line,1571,5191,ARDNAGAPPARY,TIEVEBRACK,91.0
1631-2671-1,Line,1631,2671,CORDERRY,GARVAGH,210.0
1631-5041-1,Line,1631,5041,CORDERRY,SRANANAGH,210.0
1631-10619-1,Line,1631,10619,CORDERRY,ARIGNA_T,210.0
1642-2522-1,Line,1642,2522,CASHLA,FLAGFORD,436.0
1701-1761-1,Line,1701,1761,CATH_FALL,CLIFF,68.0
1701-1981-1,Line,1701,1981,CATH_FALL,CORRACLASSY,210.0
1701-5041-1,Line,1701,5041,CATH_FALL,SRANANAGH,191.0
1701-17010-1,Line,1701,17010,CATH_FALL,CATH FALL,999.0
1701-17061-1,Line,1701,17061,CATH_FALL,CATH_CAP,123.0
1701-28712-2,Line,1701,28712,CATH_FALL,CLOGHER,210.0
1861-2521-1,Line,1861,2521,CARRICK ON S,FLAGFORD,121.0
1861-2521-2,Line,1861,2521,CARRICK ON S,FLAGFORD,121.0
1931-4371-1,Line,1931,4371,CUNGHILL,GLENREE,210.0
1931-4981-1,Line,1931,4981,CUNGHILL,SLIGO,210.0
2321-3581-1,Line,2321,3581,DRUMKEEN,LETTERKENNY,123.0
2321-4071-1,Line,2321,4071,DRUMKEEN,MEENTYCAT,121.0
2321-28710-1,Line,2321,28710,DRUMKEEN,CLOGHER,123.0
2521-2681-1,Line,2521,2681,FLAGFORD,GILRA,68.0
2521-4981-1,Line,2521,4981,FLAGFORD,SLIGO,121.0
2521-5341-1,Line,2521,5341,FLAGFORD,TONROE,210.0
2521-66094-1,Line,2521,66094,FLAGFORD,SLIABH BAWN,210.0
2522-3522-1,Line,2522,3522,FLAGFORD,LOUTH,475.0
2522-5042-1,Line,2522,5042,FLAGFORD,SRANANAGH,513.0
2601-4041-1,Line,2601,4041,FIRLOUGH,MOY,210.0
2601-4371-1,Line,2601,4371,FIRLOUGH,GLENREE,210.0
2661-2671-1,Line,2661,2671,AGHALEAGUE,GARVAGH,140.0
2801-2871-1,Line,2801,2871,GOLAGH,CLOGHER,123.0
2870-2871-1,Line,2870,2871,CLOGHER,CLOGHER,1867.0
2870-4091-1,Line,2870,4091,CLOGHER,MULREAVY,136.0
2870-17010-1,Line,2870,17010,CLOGHER,CATH FALL,209.0
2870-28712-1,Line,2870,28712,CLOGHER,CLOGHER,999.0
2871-28019-1,Line,2871,28019,CLOGHER,GOLAGH T,217.0
3581-3591-1,Line,3581,3591,LETTERKENNY,LENALEA,159.0
3581-5361-1,Line,3581,5361,LETTERKENNY,TRILLICK,123.0
3581-28019-1,Line,3581,28019,LETTERKENNY,GOLAGH T,121.0
3581-35861-1,Line,3581,35861,LETTERKENNY,LKY_CAP,123.0
3581-35862-1,Line,3581,35862,LETTERKENNY,LKY_SVC,123.0
3591-5191-1,Line,3591,5191,LENALEA,TIEVEBRACK,159.0
3691-4041-1,Line,3691,4041,LAGHTANVACK,MOY,192.0
4041-5241-1,Line,4041,5241,MOY,TAWNAGHMORE,217.0
4041-5251-2,Line,4041,5251,MOY,TAWN_B,123.0
4041-5341-1,Line,4041,5341,MOY,TONROE,228.0
4041-40461-1,Line,4041,40461,MOY,MOY_CAP,123.0
4041-40462-1,Line,4041,40462,MOY,MOYCAP2,999.0
4981-5041-1,Line,4981,5041,SLIGO,SRANANAGH,123.0
4981-5041-2,Line,4981,5041,SLIGO,SRANANAGH,123.0
4981-49861-1,Line,4981,49861,SLIGO,SLIG_CAP,123.0
4991-5361-1,Line,4991,5361,SORNE HILL,TRILLICK,123.0
5041-17010-2,Line,5041,17010,SRANANAGH,CATH FALL,210.0
28710-28712-1,Line,28710,28712,CLOGHER,CLOGHER,306.0
28710-51911-1,Line,28710,51911,CLOGHER,CROAGHONAGH,183.0
T2522-2521-25221-1-w1,Transformer,star:2522-2521-25221-1,2522,STAR OF 2522-2521-25221-1,FLAGFORD,125.0
T2522-2521-25221-1-w2,Transformer,star:2522-2521-25221-1,2521,STAR OF 2522-2521-25221-1,FLAGFORD,999.0
T2522-2521-25222-2-w1,Transformer,star:2522-2521-25222-2,2522,STAR OF 2522-2521-25222-2,FLAGFORD,125.0
T2522-2521-25222-2-w2,Transformer,star:2522-2521-25222-2,2521,STAR OF 2522-2521-25222-2,FLAGFORD,999.0
T5042-5041-50421-1-w1,Transformer,star:5042-5041-50421-1,5042,STAR OF 5042-5041-50421-1,SRANANAGH,250.0
T5042-5041-50421-1-w2,Transformer,star:5042-5041-50421-1,5041,STAR OF 5042-5041-50421-1,SRANANAGH,999.0
