branch,rule1,rule2,rule3,rule1N,band0,band1,band2,band3,band5,band10,bandinf
1341-1701-1,0,0,0,0,0,0,0,0,0,0,0
1341-5191-1,0,0,0,0,0,0,0,0,0,0,0
1571-5191-1,0,0,0,0,0,0,0,0,0,0,0
1631-2671-1,0,0,0,0,0,0,0,0,0,0,0
1631-5041-1,0,0,0,0,0,0,0,0,0,0,0
1631-10619-1,0,0,0,0,0,0,0,0,0,0,0
1642-2522-1,0,0,0,0,0,0,0,0,0,0,0
1701-1761-1,0,0,0,0,0,0,0,0,0,0,0
1701-1981-1,0,0,0,0,0,0,0,0,0,0,0
1701-5041-1,0,0,0,0,0,0,0,0,0,0,0
1701-17010-1,0,0,0,0,0,0,0,0,0,0,0
1701-17061-1,0,0,0,0,0,0,0,0,0,0,0
1701-28712-2,0,0,0,0,0,0,0,0,0,0,0
1861-2521-1,0,0,0,0,0,0,0,0,0,0,0
1861-2521-2,0,0,0,0,0,0,0,0,0,0,0
1931-4371-1,0,0,0,0,0,0,0,0,0,0,0
1931-4981-1,0,0,0,0,0,0,0,0,0,0,0
2321-3581-1,0,0,0,0,0,0,0,0,0,0,0
2321-4071-1,0,0,0,0,0,0,0,0,0,0,0
2321-28710-1,0,10,9,0,0,2,3,4,4,12,10
2521-2681-1,0,0,0,0,0,0,0,0,0,0,0
2521-4981-1,0,0,0,0,0,0,0,0,0,0,0
2521-5341-1,0,0,0,0,0,0,0,0,0,0,0
2521-66094-1,0,0,0,0,0,0,0,0,0,0,0
2522-3522-1,0,0,0,0,0,0,0,0,0,0,0
2522-5042-1,0,0,0,0,0,0,0,0,0,0,0
2601-4041-1,0,0,0,0,0,0,0,0,0,0,0
2601-4371-1,0,0,0,0,0,0,0,0,0,0,0
2661-2671-1,0,0,0,0,0,0,0,0,0,0,0
2801-2871-1,0,0,0,0,0,0,0,0,0,0,0
2870-2871-1,0,0,0,0,0,0,0,0,0,0,0
2870-4091-1,0,0,0,0,0,0,0,0,0,0,0
2870-17010-1,0,0,0,0,0,0,0,0,0,0,0
2870-28712-1,0,0,0,0,0,0,0,0,0,0,0
2871-28019-1,0,0,0,0,0,0,0,0,0,0,0
3581-3591-1,0,0,0,0,0,0,0,0,0,0,0
3581-5361-1,0,0,0,0,0,0,0,0,0,0,0
3581-28019-1,0,0,0,0,0,0,0,0,0,0,0
3581-35861-1,0,0,0,0,0,0,0,0,0,0,0
3581-35862-1,0,0,0,0,0,0,0,0,0,0,0
3591-5191-1,0,0,0,0,0,0,0,0,0,0,0
3691-4041-1,0,0,0,0,0,0,0,0,0,0,0
4041-5241-1,0,0,0,0,0,0,0,0,0,0,0
4041-5251-2,0,0,0,0,0,0,0,0,0,0,0
4041-5341-1,0,0,0,0,0,0,0,0,0,0,0
4041-40461-1,0,0,0,0,0,0,0,0,0,0,0
4041-40462-1,0,0,0,0,0,0,0,0,0,0,0
4981-5041-1,0,0,0,0,0,0,0,0,0,0,0
4981-5041-2,0,0,0,0,0,0,0,0,0,0,0
4981-49861-1,0,0,0,0,0,0,0,0,0,0,0
4991-5361-1,0,0,0,0,0,0,0,0,0,0,0
5041-17010-2,0,0,0,0,0,0,0,0,0,0,0
28710-28712-1,0,0,0,0,0,0,0,0,0,0,0
28710-51911-1,0,0,0,0,0,0,0,0,0,0,0
T2522-2521-25221-1-w1,0,0,0,0,0,0,0,0,0,0,0
T2522-2521-25221-1-w2,0,0,0,0,0,0,0,0,0,0,0
T2522-2521-25222-2-w1,0,0,0,0,0,0,0,0,0,0,0
T2522-2521-25222-2-w2,0,0,0,0,0,0,0,0,0,0,0
T5042-5041-50421-1-w1,0,0,0,0,0,0,0,0,0,0,0
T5042-5041-50421-1-w2,0,0,0,0,0,0,0,0,0,0,0
