rule,postcut_violations,hours_with_cut,nw_branches,monitored_rows_newly_over,max_abs_df_MW,residual_hours
rule1,0,777,60,0,154.12503497009408,0
rule2,10,777,60,0,152.34031053882464,0
rule3,9,777,60,0,152.34031053883066,0
rule1N,0,777,60,0,154.25611060235508,0
band0,0,777,60,0,154.8968871299602,0
band1,2,777,60,0,154.7331850953062,0
band2,3,777,60,0,154.08919541920346,0
band3,4,777,60,0,156.17426046060783,0
band5,4,777,60,0,154.08931377776824,0
band10,12,777,60,0,153.93561496617548,0
bandinf,10,777,60,0,152.34031053882464,0
