station,model_stations,n_model_farms_G,sim_rule1,sim_rule2,sim_rule3,sim_band3,measured_ratio,n_measured_units,measured_units,measured_avail_MWh,in_both,rank_measured,rank_sim_rule1,rank_sim_rule2,rank_sim_rule3,rank_sim_band3
TAWNAGHMORE,Tawnaghmore,2,0.08327634698466585,0.0,0.0,0.02882628875655458,0.0894958181430629,1.0,GU_403750,8615.8495,True,1.0,4.0,7.0,7.0,7.0
CORDERRY,Corderry,6,0.07739491572181867,0.0,0.0,0.012620404321591932,0.081766668545551,2.0,GU_402200;GU_402160,8622.138,True,2.0,8.0,7.0,7.0,8.0
BINBANE,Binbane,11,0.07341654312363474,0.0,0.0,0.05946051648862646,0.08148604497184352,2.0,GU_404630;GU_405870,7385.51,True,3.0,9.0,7.0,7.0,6.0
LENALEA,Lenalea,1,0.0859410968631282,0.0,0.0,0.10188826993755946,0.0752820118609548,1.0,GU_405930,15202.0645,True,4.0,3.0,7.0,7.0,5.0
TRILLICK,Sorne Hill + Trillick,8,0.08011705009387272,0.0008982332056902396,0.0008982332056902384,0.10697875155399801,0.07488550547387625,2.0,GU_400550;GU_404560,17233.9025,True,5.0,7.0,4.0,4.0,4.0
CUNGHILL,Cunghill,2,0.08286932806181192,0.33341034208632947,0.33341034208632947,0.10990535406921387,0.0711827070972716,1.0,GU_400021,3945.4105,True,6.0,5.0,1.0,1.0,2.0
GLENREE,Glenree,4,0.08173901570096696,0.2600539158573366,0.2600539158573366,0.10992710386130591,0.06640732593680987,3.0,GU_401280;GU_403990;GU_403880,37639.8005,True,7.0,6.0,2.0,2.0,1.0
MEENTYCAT,Meentycat,3,0.08629435537619103,0.00445880494182601,0.00445880494182601,0.1096619361343516,0.06129968357961539,1.0,GU_400070,41891.8965,True,8.0,2.0,3.0,3.0,3.0
GARVAGH,Garvagh,3,0.08685709072914174,0.0,0.0,0.002354766772669116,0.05451824356441381,2.0,GU_400950;GU_400940,22207.612,True,9.0,1.0,7.0,7.0,9.0
ARDNAGAPPARY,Ardnagappary,3,0.08402895509808692,0.0,0.0,0.08576018869274638,,,,,False,,,,,
CATH_FALL,Cathaleen's Fall,1,0.08670062580622595,0.18891255636044052,0.18891255636044052,0.10991871645316358,,,,,False,,,,,
MOY,Moy,1,0.08062706440486497,0.0,0.0,0.03954122633609191,,,,,False,,,,,
MULREAVY,Mulreavy,4,0.09062611207742285,0.08335881565718763,0.08335881565718763,0.10966265094848651,,,,,False,,,,,
SLIGO,Sligo,2,0.08739943543732853,0.38901686194296364,0.38901686194296364,0.10983083917126762,,,,,False,,,,,
