rank,stations,batches,units_per_batch_min,units_per_batch_max,example_units,all_CG1
1,CORDERRY,131,1,1,GU_402160,False
2,BINBANE+MULREAVY,114,2,2,GU_401920;GU_404630,False
3,CORDERRY+GARVAGH,84,2,2,GU_400940;GU_402200,False
4,MULREAVY,30,1,1,GU_401920,False
5,BINBANE,21,1,1,GU_404630,True
6,GARVAGH,13,1,1,GU_400940,False
7,BINBANE+LENALEA+MEENTYCAT+MULREAVY+TRILLICK,12,5,5,GU_400070;GU_400550;GU_401930;GU_405870;GU_405930,False
8,BINBANE+LENALEA+MEENTYCAT+TRILLICK,10,4,4,GU_400070;GU_400550;GU_405870;GU_405930,False
9,LENALEA+MEENTYCAT+TRILLICK,9,3,4,GU_400070;GU_400550;GU_404560;GU_405930,False
10,MEENTYCAT+MULREAVY+TRILLICK,9,3,4,GU_400070;GU_400550;GU_401930;GU_404560,False
11,BINBANE+LENALEA+TRILLICK,8,3,3,GU_400550;GU_405870;GU_405930,True
12,BINBANE+CATH_FALL+CUNGHILL+GARVAGH+GLENREE+MEENTYCAT+TRILLICK,2,9,9,GU_400021;GU_400070;GU_400550;GU_400950;GU_401280;GU_401820;GU_403880;GU_403990;GU_405870,False
13,BINBANE+MEENTYCAT+TRILLICK,2,3,3,GU_400070;GU_400550;GU_405870,False
14,BINBANE+LENALEA,1,2,2,GU_405870;GU_405930,True
15,GLENREE+LENALEA+MEENTYCAT+TRILLICK,1,4,4,GU_400070;GU_400550;GU_401280;GU_405930,False
16,MEENTYCAT,1,1,1,GU_400070,False
17,LENALEA+MULREAVY,1,2,2,GU_401930;GU_405930,False
