unit,name,tso_id,station,group,in_CG1,in_CG3,in_Booltiagh,avail_MWh,dd_MWh,dd_ratio,constraint_only_ratio,locl_any_ratio,curl_only_ratio,h_locl,h_curl,halfhours,hh_constraint_only,hh_both,passes_filter,constraint_state_at_window_start,constraint_first_code,constraint_first_efftime,curtail_state_at_window_start,curtail_first_code,curtail_first_efftime
GU_404630,Cloghervaddy 2 Windfarm,YV2,BINBANE,CG1,True,True,False,4629.8814999999995,896.892,0.19371813295869456,0.098054021469016,0.16279423134263804,0.02670543511750787,341.0,246.5,4274,429,253,True,False,LOCL,2026-06-08 10:45:51,False,CURL,2026-06-08 12:24:23
GU_403750,Killala Windfarm,KF1,TAWNAGHMORE,CG3-only,False,True,False,8615.8495,1812.688,0.2103899331110647,0.08949581814306297,0.18217118346832775,0.023059594994086188,401.0,270.5,4274,512,290,True,False,LOCL,2026-06-08 08:54:07,False,CURL,2026-06-08 12:24:11
GU_402200,Tullynamoyle Windfarm 3,TM3,CORDERRY,CG3-only,False,True,False,4993.1140000000005,916.9165,0.1836362037798456,0.0844929637096209,0.14332568813770322,0.036512484994334196,310.5,251.0,4274,436,185,True,False,LOCL,2026-06-08 14:06:52,False,CURL,2026-06-08 12:24:31
GU_400550,Sorne Hill Generator Unit,SN1,TRILLICK,CG1,True,True,False,14144.557,2946.616,0.2083215472920078,0.08181733793430221,0.1716482884547038,0.03357287895266002,329.0,278.0,4274,375,283,True,False,LOCL,2026-06-08 10:45:39,False,CURL,2026-06-08 12:24:11
GU_401280,Carrowleagh Windfarm,XR1,GLENREE,CG3-only,False,True,False,14510.462,2855.7635,0.1968072071033989,0.0799108946358841,0.1707126899198661,0.022096780929511412,404.5,248.5,4274,533,276,True,False,LOCL,2026-06-08 08:54:07,False,CURL,2026-06-08 12:24:11
GU_402160,Tullynamoyle 2 Windfarm,TM2,CORDERRY,CG3-only,False,True,False,3629.024,704.6410000000001,0.19416818406271222,0.07801560419550821,0.14648167110495822,0.04359271253097252,289.0,266.0,4274,374,204,True,False,LOCL,2026-06-08 14:06:42,False,CURL,2026-06-08 12:24:21
GU_405930,Lenalea Windfarm,LL1,LENALEA,CG1,True,True,False,15202.0645,3173.9035,0.20878108364821105,0.0752820118609548,0.16748179170006813,0.03780276027640851,337.5,345.5,4274,382,293,True,False,LOCL,2026-06-08 10:45:39,False,CURL,2026-06-08 12:24:11
GU_403990,Black Lough WFPS,XL1,GLENREE,CG3-only,False,True,False,8669.188,1356.9099999999999,0.15652100288977466,0.07429086784137108,0.13013756305665536,0.02233242605881889,414.5,252.0,4274,571,258,True,False,LOCL,2026-06-08 08:54:07,False,CURL,2026-06-08 12:24:11
GU_406560,Sheskin Windfarm,SS1,BELLACORICK,other,False,False,False,11121.249,1905.6214999999997,0.17134959391701415,0.07423433285236218,0.1479409821684597,0.019801822619024176,396.5,266.0,4274,511,282,True,False,LOCL,2026-06-08 08:54:07,False,CURL,2026-06-08 12:24:11
GU_400021,Dunneil Windfarm (Kingsmountain Phase 2),KG2,CUNGHILL,CG3-only,False,True,False,3945.4105,717.9214999999999,0.18196370187588842,0.07118270709727162,0.15872315440940812,0.0190152583615824,403.5,270.5,4274,506,301,True,False,LOCL,2026-06-08 08:54:07,False,CURL,2026-06-08 12:24:11
GU_403760,Oweninney Windfarm 1,OY1,SRAHNAKILLY,other,False,False,False,62676.243,9947.4845,0.15871220136790906,0.07071329243522143,0.1372792558737128,0.018181777424023327,391.5,266.5,4274,493,290,True,False,LOCL,2026-06-08 08:54:07,False,CURL,2026-06-08 12:24:11
GU_401720,Booltiagh Windfarm,BT1,BOOLTIAGH,Booltiagh,False,False,True,3554.2335000000003,595.6614999999999,0.1675921123358946,0.07024257128857742,0.1040816536111091,0.05988126553868787,217.0,267.5,4274,315,119,True,False,LOCL,2026-06-08 14:06:32,False,CURL,2026-06-08 12:24:11
GU_400070,Meentycat Generator Unit,MCT,MEENTYCAT,CG3-only,False,True,False,41891.8965,7098.856,0.1694565439404253,0.06129968357961545,0.13007497762723633,0.036700713704856974,326.0,345.0,4274,368,284,True,False,LOCL,2026-06-08 10:45:39,False,CURL,2026-06-08 12:24:11
GU_405130,Oweninney Windfarm 2,OY2,SRAHNAKILLY,other,False,False,False,66253.9555,9669.179,0.14594115818488756,0.058095286099559766,0.12675382830539078,0.016051381264323157,412.5,266.5,4274,531,294,True,False,LOCL,2026-06-08 08:54:19,False,CURL,2026-06-08 12:24:23
GU_400950,Garvagh Glebe Generator Unit,GH1,GARVAGH,CG3-only,False,True,False,13065.286499999998,1952.9489999999998,0.14947617107363087,0.057446042228006255,0.11190053122830489,0.03429147918034557,289.0,272.0,4274,374,204,True,False,LOCL,2026-06-08 14:06:32,False,CURL,2026-06-08 12:24:11
GU_403400,Magheramore Windfarm,MM1,DALTON_A1,other,False,False,False,28911.5425,4256.211499999999,0.1472149574862704,0.05579292422740849,0.11851868505459368,0.025846355309475443,358.0,271.5,4274,458,258,True,False,LOCL,2026-06-08 14:06:32,False,CURL,2026-06-08 12:24:11
