station,WP2024s42,WP2033s42,WP2033s43,rank_WP2024s42,rank_WP2033s42,rank_WP2033s43
Mulreavy,0.0906261120774228,0.1064561618719051,0.1204178684056754,1.0,1.0,1.0
Sligo,0.0873994354373285,0.0959590236752894,0.1132666539604111,2.0,7.0,6.0
Garvagh,0.0868570907291417,0.0929717986454447,0.1106484458738593,3.0,9.0,7.0
Cathaleen's Fall,0.0867006258062259,0.0847724219421331,0.0955498412845127,4.0,13.0,12.0
Meentycat,0.086294355376191,0.106311429549965,0.1160208134667812,5.0,2.0,3.0
Lenalea,0.0859410968631282,0.1054961388011015,0.1170078384731305,6.0,3.0,2.0
Ardnagappary,0.0840289550980869,0.0997140431355196,0.1086877604456549,7.0,4.0,8.0
Tawnaghmore,0.0832763469846658,0.09409314659979,0.1024733932851547,8.0,8.0,10.0
Cunghill,0.0828693280618119,0.0801826139461693,0.0919576081446601,9.0,14.0,14.0
Glenree,0.0817390157009669,0.092769735957399,0.1039661650225228,10.0,10.0,9.0
Moy,0.0806270644048649,0.0904471284934915,0.1017123813890922,11.0,11.0,11.0
Sorne Hill,0.0801170500938727,0.0994097180154929,0.1136298481587285,12.5,5.5,4.5
Trillick,0.0801170500938727,0.0994097180154929,0.1136298481587285,12.5,5.5,4.5
Corderry,0.0773949157218186,0.0722603539784936,0.0774975822083356,14.0,15.0,15.0
Binbane,0.0734165431236347,0.0870313990537173,0.0930234527687962,15.0,12.0,13.0
