partition,k,cadence,cut_MWh,gain_MWh,gain_retained_pct,saving_vs_observed_pct,eligibility_switches,feasibility_escapes,half_hours,operator_actions_per_event,precomputed_subgroups
tiers,2,hour,10438.281004653934,406.1774953460663,43.714145133991515,3.745484344341087,167,89,638,1,2
tiers,2,day,10431.577197901252,412.8813020987491,44.43563065373289,3.8073021543560617,16,95,638,1,2
tiers,2,week,10436.332269207394,408.1262307926063,43.92387439056991,3.7634542175859336,2,52,638,1,2
tiers,2,month,10477.684130154501,366.7743698454997,39.47345241565888,3.3821363219334524,2,65,638,1,2
tiers,3,hour,10673.79614883983,170.66235116017015,18.36723814835586,1.5737286574536675,217,194,638,1,3
tiers,3,day,10700.254533395388,144.20396660461302,15.519700616796786,1.329747968555673,19,201,638,1,3
tiers,3,week,10725.66341471321,118.79508528679071,12.78511404234046,1.0954450633638435,4,195,638,1,3
tiers,3,month,10484.394480875219,360.06401912478213,38.751262612761245,3.3202581680291563,2,166,638,1,3
tiers,4,hour,10740.366237597202,104.09226240279895,11.202748350507672,0.9598659297077761,172,179,638,1,4
tiers,4,day,10616.962783704923,227.49571629507773,24.48383003349646,2.097806140298086,18,224,638,1,4
tiers,4,week,10563.83745676093,280.6210432390708,30.201350769946472,2.587690692339048,6,193,638,1,4
tiers,4,month,10341.49848539952,502.9600146004814,54.13019511607185,4.637944943036864,3,255,638,1,4
interleaved,2,hour,10350.461614443004,493.99688555699686,53.16555397186531,4.555293245458008,199,51,638,1,2
interleaved,2,day,10341.811714584404,502.64678541559624,54.09648437088001,4.635056562903498,16,67,638,1,2
interleaved,2,week,10326.4526640477,518.0058359523009,55.749475420297394,4.776686968300915,5,67,638,1,2
interleaved,2,month,10383.516222477087,460.9422775229141,49.60810938297201,4.250486804139774,2,35,638,1,2
interleaved,3,hour,10452.493558588878,391.9649414111227,42.184543783460114,3.6144261275113245,236,129,638,1,3
interleaved,3,day,10438.117749323786,406.34075067621416,43.731715204410854,3.746989770639208,14,146,638,1,3
interleaved,3,week,10493.75104560275,350.70745439725033,37.74427863865793,3.233978482164419,5,161,638,1,3
interleaved,3,month,10455.0630061716,389.3954938284005,41.908011464874605,3.590732481740794,2,175,638,1,3
interleaved,4,hour,10394.569444241777,449.88905575822355,48.41852565182954,4.148561735546533,256,198,638,1,4
interleaved,4,day,10394.251262152971,450.2072378470293,48.452769444674935,4.151495787890463,25,197,638,1,4
interleaved,4,week,10442.743257233864,401.7152427661367,43.23390297597295,3.704336576751497,7,203,638,1,4
interleaved,4,month,10293.452264450072,551.0062355499285,59.30108592068053,5.080993537389889,3,213,638,1,4
