band_pp,cut_MWh,saving_pct,realised_max_divergence_pp,guaranteed_bound_pp,feasibility_escapes,observed_divergence_pp,saves_energy,no_worse_on_equity,dominates_today
0.0,11060.072441837452,0.10770015709492615,1.386743585973204,0.4229237747455719,101,7.413715075409222,True,True,True
1.0,10877.09421870072,1.7603218398566873,1.776306762931664,1.431237836646381,23,7.413715075409222,True,True,True
2.0,10728.60234946783,3.101469866115096,2.328730305420194,2.426573298660757,6,7.413715075409222,True,True,True
3.0,10658.20728727003,3.7372635914728627,3.3155706138907037,3.421987270499613,3,7.413715075409222,True,True,True
4.0,10591.497867081907,4.3397693561341315,4.33200326574802,4.424717259876519,0,7.413715075409222,True,True,True
5.0,10529.612613878484,4.8987042366568,5.286379338533495,5.426573298660757,0,7.413715075409222,True,True,True
6.0,10479.126932281048,5.354680530702367,6.322450589193209,6.426573298660757,0,7.413715075409222,True,True,True
7.0,10435.687826331095,5.747013602594927,7.287009731586578,7.426573298660757,0,7.413715075409222,True,True,True
8.0,10396.339805220263,6.102396837532876,8.29799604709117,8.426573298660756,0,7.413715075409222,True,False,False
10.0,10342.698262937436,6.586876216301014,10.298302421315492,10.426573298660756,0,7.413715075409222,True,False,False
inf,10127.013321718723,8.534898250796804,32.95812137856208,inf,0,7.413715075409222,True,False,False
