half,band_pp,realised_max_divergence_pp,observed_divergence_pp,no_worse_on_equity
first half,0.0,1.386743585973204,7.413715075409222,True
first half,1.0,1.776306762931664,7.413715075409222,True
first half,2.0,2.328730305420194,7.413715075409222,True
first half,3.0,3.3155706138907037,7.413715075409222,True
first half,4.0,4.33200326574802,7.413715075409222,True
first half,5.0,5.286379338533495,7.413715075409222,True
first half,6.0,6.322450589193209,7.413715075409222,True
first half,7.0,7.287009731586578,7.413715075409222,True
first half,8.0,8.29799604709117,7.413715075409222,False
first half,10.0,10.298302421315492,7.413715075409222,False
first half,inf,32.95812137856208,7.413715075409222,False
second half,0.0,1.1161215615842908,5.45707723177913,True
second half,1.0,1.261876664094865,5.45707723177913,True
second half,2.0,2.136573007920682,5.45707723177913,True
second half,3.0,3.1267654723557774,5.45707723177913,True
second half,4.0,4.125270694389484,5.45707723177913,True
second half,5.0,5.115705353723811,5.45707723177913,True
second half,6.0,6.124877189544694,5.45707723177913,False
second half,7.0,7.09547905999804,5.45707723177913,False
second half,8.0,8.095835205043363,5.45707723177913,False
second half,10.0,10.123578791813342,5.45707723177913,False
second half,inf,27.542530828797275,5.45707723177913,False
