weight_on_spill,weight_on_equity,winner_by_realised_equity,winner_by_guaranteed_bound
0.0,1.0,Today (pro rata),Today (pro rata)
0.05,0.95,Band 5 pp,Today (pro rata)
0.1,0.9,Band 5 pp,Today (pro rata)
0.15,0.85,Band 5 pp,Today (pro rata)
0.2,0.8,Band 5 pp,Today (pro rata)
0.25,0.75,Band 5 pp,Today (pro rata)
0.3,0.7,Band 5 pp,Today (pro rata)
0.35,0.65,Band 5 pp,Today (pro rata)
0.4,0.6,Band 5 pp,Today (pro rata)
0.45,0.55,Band 5 pp,Today (pro rata)
0.5,0.5,Band 5 pp,Today (pro rata)
0.55,0.45,Band 5 pp,Pure effectiveness
0.6,0.4,Band 5 pp,Pure effectiveness
0.65,0.35,Band 5 pp,Pure effectiveness
0.7,0.3,Pure effectiveness,Pure effectiveness
0.75,0.25,Pure effectiveness,Pure effectiveness
0.8,0.2,Pure effectiveness,Pure effectiveness
0.85,0.15,Pure effectiveness,Pure effectiveness
0.9,0.1,Pure effectiveness,Pure effectiveness
0.95,0.05,Pure effectiveness,Pure effectiveness
1.0,0.0,Pure effectiveness,Pure effectiveness
