rank,stations,batches,units_per_batch_min,units_per_batch_max,example_units,all_CG1
1,CORDERRY,504,1,1,GU_402160,False
2,BINBANE,160,1,1,GU_404630,True
3,CORDERRY+GARVAGH,91,2,2,GU_400940;GU_402200,False
4,BINBANE+CUNGHILL+GARVAGH+GLENREE+LENALEA+MEENTYCAT+TRILLICK,34,7,10,GU_400021;GU_400070;GU_400550;GU_400950;GU_403880;GU_405870;GU_405930,False
5,BINBANE+LENALEA+MEENTYCAT+TRILLICK,24,4,4,GU_400070;GU_400550;GU_405870;GU_405930,False
6,GARVAGH,13,1,1,GU_400940,False
7,LENALEA+MEENTYCAT+TRILLICK,9,3,4,GU_400070;GU_400550;GU_404560;GU_405930,False
8,BINBANE+LENALEA+TRILLICK,8,3,3,GU_400550;GU_405870;GU_405930,True
9,MEENTYCAT+TRILLICK,8,2,3,GU_400070;GU_400550;GU_404560,False
10,BINBANE+LENALEA+MEENTYCAT,3,3,3,GU_400070;GU_405870;GU_405930,False
11,BINBANE+CUNGHILL+GARVAGH+GLENREE+MEENTYCAT+TRILLICK,2,8,8,GU_400021;GU_400070;GU_400550;GU_400950;GU_401280;GU_403880;GU_403990;GU_405870,False
12,BINBANE+MEENTYCAT+TRILLICK,2,3,3,GU_400070;GU_400550;GU_405870,False
13,BINBANE+GARVAGH+GLENREE+LENALEA+MEENTYCAT+TRILLICK,1,6,6,GU_400070;GU_400550;GU_400950;GU_403880;GU_405870;GU_405930,False
14,BINBANE+LENALEA,1,2,2,GU_405870;GU_405930,True
15,GLENREE,1,1,1,GU_401280,False
16,LENALEA,1,1,1,GU_405930,True
17,GLENREE+LENALEA+MEENTYCAT+TRILLICK,1,4,4,GU_400070;GU_400550;GU_401280;GU_405930,False
18,LENALEA+MEENTYCAT,1,2,2,GU_400070;GU_405930,False
19,MEENTYCAT,1,1,1,GU_400070,False
