unit,name,tso_id,station,group,in_CG1,in_CG3,in_Booltiagh,avail_MWh,dd_MWh,dd_ratio,constraint_only_ratio,locl_any_ratio,curl_only_ratio,h_locl,h_curl,halfhours,hh_constraint_only,hh_both,passes_filter,constraint_state_at_window_start,constraint_first_code,constraint_first_efftime,curtail_state_at_window_start,curtail_first_code,curtail_first_efftime
GU_404630,Cloghervaddy 2 Windfarm,YV2,BINBANE,CG1,True,True,False,4524.4995,882.2335,0.1949902967167971,0.09897580936852796,0.16337431355667076,0.027327442516017517,332.5,241.0,4226,423,242,True,False,LOCL,2026-06-11 03:57:50,False,CURL,2026-06-10 10:23:59
GU_402200,Tullynamoyle Windfarm 3,TM3,CORDERRY,CG3-only,False,True,False,4896.6635,914.421,0.18674368781926717,0.0861572374740474,0.14614880111733225,0.036762583338634566,310.5,245.5,4226,436,185,True,False,LOCL,2026-06-11 03:57:58,False,CURL,2026-06-10 10:44:04
GU_403750,Killala Windfarm,KF1,TAWNAGHMORE,CG3-only,False,True,False,8442.655999999999,1742.243,0.2063619552898993,0.08567961314543669,0.17758013591931263,0.023532641860570892,385.0,265.0,4226,491,279,True,False,LOCL,2026-06-11 03:35:07,False,CURL,2026-06-10 10:23:47
GU_400550,Sorne Hill Generator Unit,SN1,TRILLICK,CG1,True,True,False,13942.663,2917.792,0.20927078277657574,0.0827837551549514,0.17314511582184836,0.03306957931924483,324.5,272.5,4226,369,280,True,False,LOCL,2026-06-11 03:57:38,False,CURL,2026-06-10 10:23:47
GU_402160,Tullynamoyle 2 Windfarm,TM2,CORDERRY,CG3-only,False,True,False,3570.0475,702.7315,0.19684093839087574,0.07930440701419238,0.14890152021786823,0.043817624275307256,289.0,260.5,4226,374,204,True,False,LOCL,2026-06-11 03:57:48,False,CURL,2026-06-10 10:23:57
GU_405930,Lenalea Windfarm,LL1,LENALEA,CG1,True,True,False,14951.375,3150.5780000000004,0.2107216225932398,0.0765417896347326,0.16889148991313507,0.03843659864059326,329.0,340.0,4226,376,282,True,False,LOCL,2026-06-11 03:57:38,False,CURL,2026-06-10 10:23:47
GU_401280,Carrowleagh Windfarm,XR1,GLENREE,CG3-only,False,True,False,14256.5175,2751.13,0.19297349440352457,0.0761395621335996,0.1664187274346628,0.022490380276950526,388.5,243.0,4226,512,265,True,False,LOCL,2026-06-11 03:35:07,False,CURL,2026-06-10 10:23:47
GU_406560,Sheskin Windfarm,SS1,BELLACORICK,other,False,False,False,10888.4375,1869.7105000000001,0.17171522543983012,0.07337026088453923,0.14782006141836238,0.020225215968774215,380.5,260.5,4226,490,271,True,False,LOCL,2026-06-11 03:35:07,False,CURL,2026-06-10 10:23:47
GU_401720,Booltiagh Windfarm,BT1,BOOLTIAGH,Booltiagh,False,False,True,3426.748,589.172,0.1719332731791191,0.07285580964809786,0.10795380926756212,0.060507221423927296,217.0,262.0,4226,315,119,True,False,LOCL,2026-06-11 03:57:38,False,CURL,2026-06-10 10:23:47
GU_403990,Black Lough WFPS,XL1,GLENREE,CG3-only,False,True,False,8501.19,1305.8919999999998,0.15361284714257648,0.07139394602402722,0.12673825664406982,0.022773752851071437,398.5,246.5,4226,550,247,True,False,LOCL,2026-06-11 03:35:07,False,CURL,2026-06-10 10:23:47
